id,datasetName,algorithmName,hyperparams
0,857b5888-4743-4e41-a083-3aa70652fca9,datasets_55485_106148_spx,naive,"{""forecastHorizon"": 1}"
0,1fa227cc-4df4-4e99-b82a-6dacb1dd1cd3,datasets_55485_106148_spx,exponentialSmoothing,"{""forecastHorizon"": 1}"
0,fb58b9df-7579-4bed-8200-022a5a318e12,datasets_55485_106148_spx,holtWinters,"{""forecastHorizon"": 1, ""seasonal_periods"": 2184, ""trend"": ""add"", ""seasonal"": ""add""}"
0,a8dcc8bd-67a4-48f1-92d8-bcf8b78ebd52,datasets_55485_106148_spx,holtWinters,"{""forecastHorizon"": 1, ""seasonal_periods"": 1311, ""trend"": ""add"", ""seasonal"": ""add""}"
0,a2aa04ee-a537-428e-aaee-3d30123f8806,datasets_55485_106148_spx,holtWinters,"{""forecastHorizon"": 1, ""seasonal_periods"": 936, ""trend"": ""add"", ""seasonal"": ""add""}"
0,1fd50829-bec6-44de-be45-fdc5e05c2465,ElectricDemandForecasting-DL-master_data_CECOVEL,naive,"{""forecastHorizon"": 24}"
0,a3a4d1cd-2c0c-422f-9ebe-818f93f0682e,ElectricDemandForecasting-DL-master_data_CECOVEL,exponentialSmoothing,"{""forecastHorizon"": 24}"
0,0eaf2de0-1ad1-40c2-93a8-fcbe6dc4f22f,ElectricDemandForecasting-DL-master_data_CECOVEL,holtWinters,"{""forecastHorizon"": 24, ""seasonal_periods"": 12, ""trend"": ""add"", ""seasonal"": ""add""}"
0,a4fcf383-c724-4bfb-b9d2-809cdfeb5af4,ElectricDemandForecasting-DL-master_data_CECOVEL,holtWinters,"{""forecastHorizon"": 24, ""seasonal_periods"": 24, ""trend"": ""add"", ""seasonal"": ""add""}"
0,46e340e8-7606-49bb-827f-9b63037b26d9,ElectricDemandForecasting-DL-master_data_CECOVEL,holtWinters,"{""forecastHorizon"": 24, ""seasonal_periods"": 8, ""trend"": ""add"", ""seasonal"": ""add""}"
0,6497dae9-2aae-49e2-b80a-2e9460d6b3d6,SERIA_MA,naive,"{""forecastHorizon"": 7}"
0,b16feb4d-f453-4afd-ad5e-ead08e2eee56,SERIA_MA,exponentialSmoothing,"{""forecastHorizon"": 7}"
0,fb3e545d-2f17-4a35-afc7-91f01647284b,SERIA_MA,holtWinters,"{""forecastHorizon"": 7, ""seasonal_periods"": 365, ""trend"": ""add"", ""seasonal"": ""add""}"
0,9b64b39a-55c9-4a84-934b-11f45a6577cf,SERIA_MA,holtWinters,"{""forecastHorizon"": 7, ""seasonal_periods"": 183, ""trend"": ""add"", ""seasonal"": ""add""}"
0,aa3f856e-b647-48d7-a610-b2bf0be901d6,SERIA_MA,holtWinters,"{""forecastHorizon"": 7, ""seasonal_periods"": 1872, ""trend"": ""add"", ""seasonal"": ""add""}"
