testValue,time,trainValue,prediction
1265.33,2011-12-23,1265.33,1253.2085640893201
1265.43,2011-12-27,1265.43,1264.4316520435211
1249.64,2011-12-28,1249.64,1265.3560300873742
1263.02,2011-12-29,1263.02,1250.8052852987487
1257.6,2011-12-30,1257.6,1262.1116657021942
1277.06,2012-01-03,1277.06,1257.9358404744603
1277.3,2012-01-04,1277.3,1275.6345319675138
1281.06,2012-01-05,1281.06,1277.1759795614164
1277.81,2012-01-06,1277.81,1280.7707057510418
1280.7,2012-01-09,1280.7,1278.0305661961454
1292.08,2012-01-10,1292.08,1280.5011062747694
1292.48,2012-01-11,1292.48,1291.2176967928037
1295.5,2012-01-12,1295.5,1292.386033536265
1289.09,2012-01-13,1289.09,1295.2681812114758
1293.67,2012-01-17,1293.67,1289.5500877431916
1308.04,2012-01-18,1308.04,1293.3630744030897
1314.5,2012-01-19,1314.5,1306.9475597170895
1315.38,2012-01-20,1315.38,1313.9390772523905
1316.0,2012-01-23,1316.0,1315.2729848937224
1314.65,2012-01-24,1314.65,1315.9460023549225
1326.05,2012-01-25,1326.05,1314.7462606583201
1318.43,2012-01-26,1318.43,1325.2102169211717
1316.33,2012-01-27,1316.33,1318.9342901972932
1313.01,2012-01-30,1313.01,1316.5236690190166
1312.41,2012-01-31,1312.41,1313.2712579819402
1324.09,2012-02-01,1324.09,1312.4740344460638
1325.54,2012-02-02,1325.54,1323.2261419815075
1344.9,2012-02-03,1344.9,1325.3680294460478
1344.33,2012-02-06,1344.33,1343.449645964516
1347.05,2012-02-07,1347.05,1344.264679446328
1349.96,2012-02-08,1349.96,1346.8432572174029
1351.95,2012-02-09,1351.95,1349.728694340769
1342.64,2012-02-10,1342.64,1351.7851693881985
1351.77,2012-02-13,1351.77,1343.3188784354882
1350.5,2012-02-14,1350.5,1351.1418989683034
1343.23,2012-02-15,1343.23,1350.5477121587917
1358.04,2012-02-16,1358.04,1343.7739600006748
1361.23,2012-02-17,1361.23,1356.9777372346339
1362.21,2012-02-21,1362.21,1360.913737023723
1357.66,2012-02-22,1357.66,1362.1135820321285
1363.46,2012-02-23,1363.46,1357.9913163966155
1365.74,2012-02-24,1365.74,1363.0530118922172
1367.59,2012-02-27,1367.59,1365.5400782014733
1372.18,2012-02-28,1372.18,1367.437491718734
1365.68,2012-02-29,1365.68,1371.827233286765
1374.09,2012-03-01,1374.09,1366.137479216404
1369.63,2012-03-02,1369.63,1373.4977190086724
1364.33,2012-03-05,1364.33,1369.9181895963357
1343.36,2012-03-06,1343.36,1364.746278408121
1352.63,2012-03-07,1352.63,1344.949719736588
1365.91,2012-03-08,1365.91,1352.0577978695858
1370.87,2012-03-09,1370.87,1364.878862527823
1371.09,2012-03-12,1371.09,1370.4247665998394
1395.95,2012-03-13,1395.95,1371.0405574099664
1394.28,2012-03-14,1394.28,1394.0994512075724
1402.6,2012-03-15,1402.6,1394.266598781951
1404.17,2012-03-16,1404.17,1401.9811297692304
1409.75,2012-03-19,1409.75,1404.0075109741751
1405.52,2012-03-20,1405.52,1409.3237934610593
1402.89,2012-03-21,1402.89,1405.8024153065578
1392.78,2012-03-22,1392.78,1403.106204873371
1397.11,2012-03-23,1397.11,1393.5461493423754
1416.51,2012-03-26,1416.51,1396.845445840568
1412.52,2012-03-27,1412.52,1415.051412746887
1405.54,2012-03-28,1405.54,1412.7078321867327
1403.28,2012-03-29,1403.28,1406.0720519786203
1408.47,2012-03-30,1408.47,1403.487163630403
1419.04,2012-04-02,1419.04,1408.1001619659708
1413.38,2012-04-03,1413.38,1418.228742823233
1398.96,2012-04-04,1398.96,1413.7398501380949
1398.08,2012-04-05,1398.08,1400.0559437746017
1382.2,2012-04-09,1382.2,1398.226405564051
1358.59,2012-04-10,1358.59,1383.386791855136
1368.71,2012-04-11,1368.71,1360.4131520114245
1387.57,2012-04-12,1387.57,1368.0980598181443
1370.26,2012-04-13,1370.26,1386.1357244046308
1369.57,2012-04-16,1369.57,1371.4351635224953
1390.78,2012-04-17,1390.78,1369.7080345884324
1385.14,2012-04-18,1385.14,1389.2185144058997
1376.92,2012-04-19,1376.92,1385.4425008561743
1378.53,2012-04-20,1378.53,1377.5522179819652
1366.94,2012-04-23,1366.94,1378.4574618824163
1371.97,2012-04-24,1371.97,1367.7945746693547
1390.69,2012-04-25,1390.69,1371.6599909696645
1399.98,2012-04-26,1399.98,1389.2783848615466
1403.36,2012-04-27,1403.36,1399.1892986558619
1397.91,2012-04-30,1397.91,1403.0520203824844
1405.82,2012-05-01,1405.82,1398.2899313033558
1402.31,2012-05-02,1402.31,1405.2632804609575
1391.57,2012-05-03,1391.57,1402.5284146208735
1369.1,2012-05-04,1369.1,1392.3801281885635
1369.58,2012-05-07,1369.58,1370.8132296887536
1363.72,2012-05-08,1363.72,1369.670657559465
1354.58,2012-05-09,1354.58,1364.157628792586
1357.99,2012-05-10,1357.99,1355.2836317692916
1353.39,2012-05-11,1353.39,1357.7910969887728
1338.35,2012-05-14,1338.35,1353.7135440813956
1330.66,2012-05-15,1330.66,1339.478163639465
1324.8,2012-05-16,1324.8,1331.3058187583788
1304.86,2012-05-17,1304.86,1325.2760290663543
1295.22,2012-05-18,1295.22,1306.3501572704083
1315.99,2012-05-21,1315.99,1296.0287540916534
1316.63,2012-05-22,1316.63,1314.5327437252747
1318.86,2012-05-23,1318.86,1316.4770347956328
1320.68,2012-05-24,1320.68,1318.6861453697827
1317.82,2012-05-25,1317.82,1320.534545612291
1332.42,2012-05-29,1332.42,1318.0180505623853
1313.32,2012-05-30,1313.32,1331.368589410883
1310.33,2012-05-31,1310.33,1314.6430890617348
1278.04,2012-06-01,1278.04,1310.6457500846907
1278.18,2012-06-04,1278.18,1280.420391499575
1285.5,2012-06-05,1285.5,1278.3431391330432
1315.13,2012-06-06,1315.13,1284.977867753573
1314.99,2012-06-07,1314.99,1312.9380285048474
1325.66,2012-06-08,1325.66,1314.8411536265153
1308.93,2012-06-11,1308.93,1324.8749408118001
1324.18,2012-06-12,1324.18,1310.090393743059
1314.88,2012-06-13,1314.88,1323.1510289727253
1329.1,2012-06-14,1329.1,1315.4851836410423
1342.84,2012-06-15,1342.84,1328.1019895045629
1344.78,2012-06-18,1344.78,1341.7633344543547
