testValue,time,trainValue,prediction
27.298000000000002,2016-03-01 00:00:00,27.298000000000002,19.076896600717916
176.81799999999998,2016-03-01 01:00:00,176.81799999999998,46.092610852855245
137.341,2016-03-01 02:00:00,137.341,46.871581357789985
116.53200000000001,2016-03-01 03:00:00,116.53200000000001,39.19039886524181
84.029,2016-03-01 04:00:00,84.029,30.518378956446675
54.508,2016-03-01 05:00:00,54.508,29.356994612171846
23.653000000000002,2016-03-01 06:00:00,23.653000000000002,27.13119930693623
21.27,2016-03-01 07:00:00,21.27,22.962416992770994
12.283,2016-03-01 08:00:00,12.283,21.175147467211566
21.433000000000003,2016-03-01 09:00:00,21.433000000000003,48.19086171934889
16.359,2016-03-01 10:00:00,16.359,48.969832224283635
22.109,2016-03-01 11:00:00,22.109,41.28864973173546
24.633000000000003,2016-03-01 12:00:00,24.633000000000003,32.61662982294032
16.869,2016-03-01 13:00:00,16.869,31.455245478665496
19.964000000000002,2016-03-01 14:00:00,19.964000000000002,29.229450173429882
27.226,2016-03-01 15:00:00,27.226,25.060667859264637
21.289,2016-03-01 16:00:00,21.289,23.273398333705217
13.712,2016-03-01 17:00:00,13.712,50.28911258584254
14.914000000000001,2016-03-01 18:00:00,14.914000000000001,51.06808309077728
14.902000000000001,2016-03-01 19:00:00,14.902000000000001,43.386900598229104
18.837,2016-03-01 20:00:00,18.837,34.71488068943397
28.119,2016-03-01 21:00:00,28.119,33.55349634515914
20.42,2016-03-01 22:00:00,20.42,31.327701039923525
16.541,2016-03-01 23:00:00,16.541,27.158918725758287
22.875999999999998,2016-03-02 00:00:00,22.875999999999998,13.743938456621947
167.044,2016-03-02 01:00:00,167.044,43.56416821934783
149.85399999999998,2016-03-02 02:00:00,149.85399999999998,39.22574437497525
113.38799999999999,2016-03-02 03:00:00,113.38799999999999,32.76488339554801
70.66,2016-03-02 04:00:00,70.66,23.48491743503497
29.313000000000002,2016-03-02 05:00:00,29.313000000000002,20.58612164197942
13.620999999999999,2016-03-02 06:00:00,13.620999999999999,17.5598552469631
11.411,2016-03-02 07:00:00,11.411,15.027920988253513
5.605,2016-03-02 08:00:00,5.605,12.156358187093048
4.0169999999999995,2016-03-02 09:00:00,4.0169999999999995,41.976587949818935
8.97,2016-03-02 10:00:00,8.97,37.63816410544636
8.999,2016-03-02 11:00:00,8.999,31.177303126019122
8.683,2016-03-02 12:00:00,8.683,21.897337165506077
39.493,2016-03-02 13:00:00,39.493,18.99854137245052
29.729,2016-03-02 14:00:00,29.729,15.972274977434207
38.896,2016-03-02 15:00:00,38.896,13.44034071872462
28.298000000000002,2016-03-02 16:00:00,28.298000000000002,10.568777917564155
24.226999999999997,2016-03-02 17:00:00,24.226999999999997,40.38900768029004
5.254,2016-03-02 18:00:00,5.254,36.050583835917465
8.927,2016-03-02 19:00:00,8.927,29.58972285649023
17.35,2016-03-02 20:00:00,17.35,20.309756895977184
34.861999999999995,2016-03-02 21:00:00,34.861999999999995,17.41096110292163
21.781999999999996,2016-03-02 22:00:00,21.781999999999996,14.384694707905314
9.722999999999999,2016-03-02 23:00:00,9.722999999999999,11.852760449195728
17.621,2016-03-03 00:00:00,17.621,6.538676313494079
153.5,2016-03-03 01:00:00,153.5,38.20483802314001
143.903,2016-03-03 02:00:00,143.903,31.04464410056833
106.47200000000001,2016-03-03 03:00:00,106.47200000000001,23.968194591375276
65.535,2016-03-03 04:00:00,65.535,14.576303197987677
38.756,2016-03-03 05:00:00,38.756,12.48294547874685
17.115,2016-03-03 06:00:00,17.115,6.775191505755227
13.749,2016-03-03 07:00:00,13.749,5.998977117278091
8.008,2016-03-03 08:00:00,8.008,2.190646010640087
10.059,2016-03-03 09:00:00,10.059,33.85680772028602
11.948,2016-03-03 10:00:00,11.948,26.696613797714345
6.974,2016-03-03 11:00:00,6.974,19.620164288521284
4.7669999999999995,2016-03-03 12:00:00,4.7669999999999995,10.228272895133685
10.934000000000001,2016-03-03 13:00:00,10.934000000000001,8.134915175892857
28.933000000000003,2016-03-03 14:00:00,28.933000000000003,2.4271612029012353
40.75,2016-03-03 15:00:00,40.75,1.6509468144241026
24.677,2016-03-03 16:00:00,24.677,-2.157384292213898
18.075,2016-03-03 17:00:00,18.075,29.50877741743204
18.391,2016-03-03 18:00:00,18.391,22.348583494860353
29.18,2016-03-03 19:00:00,29.18,15.272133985667292
42.36600000000001,2016-03-03 20:00:00,42.36600000000001,5.880242592279693
29.424,2016-03-03 21:00:00,29.424,3.7868848730388684
29.444000000000003,2016-03-03 22:00:00,29.444000000000003,-1.9208690999527533
19.601,2016-03-03 23:00:00,19.601,-2.697083488429886
24.726,2016-03-04 00:00:00,24.726,16.501052260457975
120.62,2016-03-04 01:00:00,120.62,50.35372791904312
132.023,2016-03-04 02:00:00,132.023,43.37407133994113
112.449,2016-03-04 03:00:00,112.449,35.137264978371675
72.457,2016-03-04 04:00:00,72.457,26.367990613442622
46.452,2016-03-04 05:00:00,46.452,23.350547809746168
29.834,2016-03-04 06:00:00,29.834,20.187363876883968
16.404,2016-03-04 07:00:00,16.404,19.296017494067684
4.806,2016-03-04 08:00:00,4.806,15.700989819998796
8.238,2016-03-04 09:00:00,8.238,49.55366547858395
27.967,2016-03-04 10:00:00,27.967,42.57400889948196
10.447000000000001,2016-03-04 11:00:00,10.447000000000001,34.3372025379125
13.637,2016-03-04 12:00:00,13.637,25.567928172983443
21.548000000000002,2016-03-04 13:00:00,21.548000000000002,22.550485369286996
31.214000000000002,2016-03-04 14:00:00,31.214000000000002,19.387301436424796
20.311,2016-03-04 15:00:00,20.311,18.49595505360851
21.564,2016-03-04 16:00:00,21.564,14.900927379539624
13.334000000000001,2016-03-04 17:00:00,13.334000000000001,48.75360303812478
13.349,2016-03-04 18:00:00,13.349,41.77394645902279
14.315,2016-03-04 19:00:00,14.315,33.537140097453324
20.156,2016-03-04 20:00:00,20.156,24.76786573252427
