testValue,time,trainValue,prediction
27.298000000000002,2016-03-01 00:00:00,27.298000000000002,22.42003116144739
176.81799999999998,2016-03-01 01:00:00,176.81799999999998,26.045300086296898
137.341,2016-03-01 02:00:00,137.341,28.93041143680776
116.53200000000001,2016-03-01 03:00:00,116.53200000000001,30.503316751068134
84.029,2016-03-01 04:00:00,84.029,31.07345723176541
54.508,2016-03-01 05:00:00,54.508,31.113414973782504
23.653000000000002,2016-03-01 06:00:00,23.653000000000002,30.97076841698287
21.27,2016-03-01 07:00:00,21.27,30.82367758052119
12.283,2016-03-01 08:00:00,12.283,30.73014712127345
21.433000000000003,2016-03-01 09:00:00,21.433000000000003,30.68850646209247
16.359,2016-03-01 10:00:00,16.359,30.678836743626338
22.109,2016-03-01 11:00:00,22.109,30.682891421443184
24.633000000000003,2016-03-01 12:00:00,24.633000000000003,30.68977132037416
16.869,2016-03-01 13:00:00,16.869,30.694973780650432
19.964000000000002,2016-03-01 14:00:00,19.964000000000002,30.69770165298881
27.226,2016-03-01 15:00:00,27.226,30.698627556211896
21.289,2016-03-01 16:00:00,21.289,30.69863758100142
13.712,2016-03-01 17:00:00,13.712,30.698354209083515
14.914000000000001,2016-03-01 18:00:00,14.914000000000001,30.69808394150646
14.902000000000001,2016-03-01 19:00:00,14.902000000000001,30.697918813653743
18.837,2016-03-01 20:00:00,18.837,30.6978486427951
28.119,2016-03-01 21:00:00,28.119,30.69783472442458
20.42,2016-03-01 22:00:00,20.42,30.697843797261413
16.541,2016-03-01 23:00:00,16.541,30.697856750769393
22.875999999999998,2016-03-02 00:00:00,22.875999999999998,20.7278594007402
167.044,2016-03-02 01:00:00,167.044,25.75992375570183
149.85399999999998,2016-03-02 02:00:00,149.85399999999998,29.187243042023653
113.38799999999999,2016-03-02 03:00:00,113.38799999999999,30.875856548766645
70.66,2016-03-02 04:00:00,70.66,31.427058861114457
29.313000000000002,2016-03-02 05:00:00,29.313000000000002,31.438222861815515
13.620999999999999,2016-03-02 06:00:00,13.620999999999999,31.28534105068999
11.411,2016-03-02 07:00:00,11.411,31.1402369419131
5.605,2016-03-02 08:00:00,5.605,31.050928185324054
4.0169999999999995,2016-03-02 09:00:00,4.0169999999999995,31.01106630103904
8.97,2016-03-02 10:00:00,8.97,31.00054283109354
8.999,2016-03-02 11:00:00,8.999,31.002587251372038
8.683,2016-03-02 12:00:00,8.683,31.007599936680045
39.493,2016-03-02 13:00:00,39.493,31.011643756925153
