testValue,time,trainValue,prediction
1265.33,2011-12-23,1265.33,1251.467139819465
1265.43,2011-12-27,1265.43,1266.6107828946585
1249.64,2011-12-28,1249.64,1264.8927463901662
1263.02,2011-12-29,1263.02,1251.0221438170486
1257.6,2011-12-30,1257.6,1260.7028581028896
1277.06,2012-01-03,1277.06,1259.9358127352914
1277.3,2012-01-04,1277.3,1273.9758936737915
1281.06,2012-01-05,1281.06,1279.9673455734403
1277.81,2012-01-06,1277.81,1278.97593370527
1280.7,2012-01-09,1280.7,1279.5642916492775
1292.08,2012-01-10,1292.08,1279.2051515152111
1292.48,2012-01-11,1292.48,1292.3915245073476
1295.5,2012-01-12,1295.5,1292.5616493072353
1289.09,2012-01-13,1289.09,1295.246513502747
1293.67,2012-01-17,1293.67,1289.7887892475549
1308.04,2012-01-18,1308.04,1292.6902115713776
1314.5,2012-01-19,1314.5,1307.814151867321
1315.38,2012-01-20,1315.38,1314.588702205445
1316.0,2012-01-23,1316.0,1315.435337949565
1314.65,2012-01-24,1314.65,1315.9415766463364
1326.05,2012-01-25,1326.05,1314.802038628134
1318.43,2012-01-26,1318.43,1325.0871734212126
1316.33,2012-01-27,1316.33,1319.917167759204
1313.01,2012-01-30,1313.01,1315.2886082930743
1312.41,2012-01-31,1312.41,1313.9142114821022
1324.09,2012-02-01,1324.09,1311.7568495323417
1325.54,2012-02-02,1325.54,1323.6553538782216
1344.9,2012-02-03,1344.9,1325.9911432658675
1344.33,2012-02-06,1344.33,1343.2045776979214
1347.05,2012-02-07,1347.05,1345.9841177946437
1349.96,2012-02-08,1349.96,1345.7196970659243
1351.95,2012-02-09,1351.95,1350.6978705438767
1342.64,2012-02-10,1342.64,1351.370452843533
1351.77,2012-02-13,1351.77,1343.7597706880958
1350.5,2012-02-14,1350.5,1350.1226838821003
1343.23,2012-02-15,1343.23,1351.9190581639123
1358.04,2012-02-16,1358.04,1342.7933043507471
1361.23,2012-02-17,1361.23,1357.0172968616682
1362.21,2012-02-21,1362.21,1361.9983079897938
1357.66,2012-02-22,1357.66,1361.696388863902
1363.46,2012-02-23,1363.46,1358.3756420389607
1365.74,2012-02-24,1365.74,1362.434234821147
1367.59,2012-02-27,1367.59,1366.3622357890395
1372.18,2012-02-28,1372.18,1367.0736207747352
1365.68,2012-02-29,1365.68,1372.2023622818158
1374.09,2012-03-01,1374.09,1366.265395834866
1369.63,2012-03-02,1369.63,1372.8904927516453
1364.33,2012-03-05,1364.33,1370.9588324546282
1343.36,2012-03-06,1343.36,1363.768952373759
1352.63,2012-03-07,1352.63,1345.2210596331527
1365.91,2012-03-08,1365.91,1350.1359167612966
1370.87,2012-03-09,1370.87,1366.7387114599087
1371.09,2012-03-12,1371.09,1370.2548375887043
1395.95,2012-03-13,1395.95,1371.6329441213545
1394.28,2012-03-14,1394.28,1393.6963863827139
1402.6,2012-03-15,1402.6,1396.5694682988096
1404.17,2012-03-16,1404.17,1400.4091592390569
1409.75,2012-03-19,1409.75,1405.7834745488567
1405.52,2012-03-20,1405.52,1408.2585063022352
1402.89,2012-03-21,1402.89,1407.0209717713838
1392.78,2012-03-22,1392.78,1401.893757106066
1397.11,2012-03-23,1397.11,1394.0810552829569
1416.51,2012-03-26,1416.51,1395.6226971172516
1412.52,2012-03-27,1412.52,1416.3350393951441
1405.54,2012-03-28,1405.54,1413.405635919237
1403.28,2012-03-29,1403.28,1405.311546974283
1408.47,2012-03-30,1408.47,1403.432128330302
1419.04,2012-04-02,1419.04,1407.95363014476
1413.38,2012-04-03,1413.38,1418.818520093039
1398.96,2012-04-04,1398.96,1414.1880623617114
1398.08,2012-04-05,1398.08,1399.2357632162702
1382.2,2012-04-09,1382.2,1397.5957456611184
1358.59,2012-04-10,1358.59,1383.606274166464
1368.71,2012-04-11,1368.71,1358.7065696506845
1387.57,2012-04-12,1387.57,1367.3034340706097
1370.26,2012-04-13,1370.26,1387.5706671431437
1369.57,2012-04-16,1369.57,1371.8804838353
1390.78,2012-04-17,1390.78,1368.0653508125038
1385.14,2012-04-18,1385.14,1390.380947724352
1376.92,2012-04-19,1376.92,1386.239379527657
1378.53,2012-04-20,1378.53,1376.587894109703
1366.94,2012-04-23,1366.94,1378.501853641315
1371.97,2012-04-24,1371.97,1367.774703038269
1390.69,2012-04-25,1390.69,1370.797451295112
1399.98,2012-04-26,1399.98,1390.3673342258683
1403.36,2012-04-27,1403.36,1399.9740351446749
1397.91,2012-04-30,1397.91,1403.3383667280295
1405.82,2012-05-01,1405.82,1398.3578720613223
1402.31,2012-05-02,1402.31,1404.8616442704974
1391.57,2012-05-03,1391.57,1403.3918117494302
1369.1,2012-05-04,1369.1,1391.4363687295534
1369.58,2012-05-07,1369.58,1370.3983572648153
1363.72,2012-05-08,1363.72,1368.0885334851384
1354.58,2012-05-09,1354.58,1365.1817057069902
1357.99,2012-05-10,1357.99,1353.9839789294222
1353.39,2012-05-11,1353.39,1357.9884924340256
1338.35,2012-05-14,1338.35,1353.7649724880246
1330.66,2012-05-15,1330.66,1338.9436298454855
1324.8,2012-05-16,1324.8,1330.3762027076257
1304.86,2012-05-17,1304.86,1325.1896158729605
1295.22,2012-05-18,1295.22,1305.6347136314307
1315.99,2012-05-21,1315.99,1294.6913122382882
1316.63,2012-05-22,1316.63,1314.8352246339643
1318.86,2012-05-23,1318.86,1317.9365769701687
1320.68,2012-05-24,1320.68,1317.7997724392367
1317.82,2012-05-25,1317.82,1321.3888073730468
1332.42,2012-05-29,1332.42,1317.5274622852628
1313.32,2012-05-30,1313.32,1331.6877248614776
1310.33,2012-05-31,1310.33,1315.4278373396198
1278.04,2012-06-01,1278.04,1308.5225775337733
1278.18,2012-06-04,1278.18,1281.20671177614
1285.5,2012-06-05,1285.5,1274.909526720289
1315.13,2012-06-06,1315.13,1287.3110106538852
1314.99,2012-06-07,1314.99,1312.1753170787347
1325.66,2012-06-08,1325.66,1317.9571281207063
1308.93,2012-06-11,1308.93,1322.858845773177
1324.18,2012-06-12,1324.18,1312.322290842593
1314.88,2012-06-13,1314.88,1320.2357188677788
1329.1,2012-06-14,1329.1,1318.8556249971004
1342.84,2012-06-15,1342.84,1325.0088622395317
1344.78,2012-06-18,1344.78,1345.2464138268774
1357.98,2012-06-19,1357.98,1343.3038844761961
1355.69,2012-06-20,1355.69,1358.2265095126604
1325.51,2012-06-21,1325.51,1356.1096579240634
1335.02,2012-06-22,1335.02,1327.1321005887992
1313.72,2012-06-25,1313.72,1332.4196278439492
1319.99,2012-06-26,1319.99,1317.259171819987
1331.85,2012-06-27,1331.85,1316.4562636248243
1329.04,2012-06-28,1329.04,1333.7268934709216
1362.16,2012-06-29,1362.16,1328.1412817680757
1365.51,2012-07-02,1365.51,1360.425466400586
1374.02,2012-07-03,1374.02,1367.234575143764
1367.58,2012-07-05,1367.58,1372.2731988665053
1354.68,2012-07-06,1354.68,1369.4665849507546
1352.46,2012-07-09,1352.46,1354.0571225144913
1341.47,2012-07-10,1341.47,1352.7512047298364
1341.45,2012-07-11,1341.45,1341.9191618962234
1334.76,2012-07-12,1334.76,1340.8548953464776
1356.78,2012-07-13,1356.78,1335.6175675424972
1353.64,2012-07-16,1353.64,1354.5441794175342
1363.67,2012-07-17,1363.67,1355.988933778998
1372.78,2012-07-18,1372.78,1361.2488025574414
1376.51,2012-07-19,1376.51,1374.1297716051715
1362.66,2012-07-20,1362.66,1375.5426701172114
1350.52,2012-07-23,1350.52,1364.3660627778527
1338.31,2012-07-24,1338.31,1349.7531402670438
1337.89,2012-07-25,1337.89,1339.3129761239557
