testValue,time,trainValue,prediction
1265.33,2011-12-23,1265.33,1254.0
1265.43,2011-12-27,1265.43,1265.33
1249.64,2011-12-28,1249.64,1265.43
1263.02,2011-12-29,1263.02,1249.64
1257.6,2011-12-30,1257.6,1263.02
1277.06,2012-01-03,1277.06,1257.6
1277.3,2012-01-04,1277.3,1277.06
1281.06,2012-01-05,1281.06,1277.3
1277.81,2012-01-06,1277.81,1281.06
1280.7,2012-01-09,1280.7,1277.81
1292.08,2012-01-10,1292.08,1280.7
1292.48,2012-01-11,1292.48,1292.08
1295.5,2012-01-12,1295.5,1292.48
1289.09,2012-01-13,1289.09,1295.5
1293.67,2012-01-17,1293.67,1289.09
1308.04,2012-01-18,1308.04,1293.67
1314.5,2012-01-19,1314.5,1308.04
1315.38,2012-01-20,1315.38,1314.5
1316.0,2012-01-23,1316.0,1315.38
1314.65,2012-01-24,1314.65,1316.0
1326.05,2012-01-25,1326.05,1314.65
1318.43,2012-01-26,1318.43,1326.05
1316.33,2012-01-27,1316.33,1318.43
1313.01,2012-01-30,1313.01,1316.33
1312.41,2012-01-31,1312.41,1313.01
1324.09,2012-02-01,1324.09,1312.41
1325.54,2012-02-02,1325.54,1324.09
1344.9,2012-02-03,1344.9,1325.54
1344.33,2012-02-06,1344.33,1344.9
1347.05,2012-02-07,1347.05,1344.33
1349.96,2012-02-08,1349.96,1347.05
1351.95,2012-02-09,1351.95,1349.96
1342.64,2012-02-10,1342.64,1351.95
1351.77,2012-02-13,1351.77,1342.64
1350.5,2012-02-14,1350.5,1351.77
1343.23,2012-02-15,1343.23,1350.5
1358.04,2012-02-16,1358.04,1343.23
1361.23,2012-02-17,1361.23,1358.04
1362.21,2012-02-21,1362.21,1361.23
1357.66,2012-02-22,1357.66,1362.21
1363.46,2012-02-23,1363.46,1357.66
1365.74,2012-02-24,1365.74,1363.46
1367.59,2012-02-27,1367.59,1365.74
1372.18,2012-02-28,1372.18,1367.59
1365.68,2012-02-29,1365.68,1372.18
1374.09,2012-03-01,1374.09,1365.68
1369.63,2012-03-02,1369.63,1374.09
1364.33,2012-03-05,1364.33,1369.63
1343.36,2012-03-06,1343.36,1364.33
1352.63,2012-03-07,1352.63,1343.36
1365.91,2012-03-08,1365.91,1352.63
1370.87,2012-03-09,1370.87,1365.91
1371.09,2012-03-12,1371.09,1370.87
1395.95,2012-03-13,1395.95,1371.09
1394.28,2012-03-14,1394.28,1395.95
1402.6,2012-03-15,1402.6,1394.28
1404.17,2012-03-16,1404.17,1402.6
1409.75,2012-03-19,1409.75,1404.17
1405.52,2012-03-20,1405.52,1409.75
1402.89,2012-03-21,1402.89,1405.52
1392.78,2012-03-22,1392.78,1402.89
1397.11,2012-03-23,1397.11,1392.78
1416.51,2012-03-26,1416.51,1397.11
1412.52,2012-03-27,1412.52,1416.51
1405.54,2012-03-28,1405.54,1412.52
1403.28,2012-03-29,1403.28,1405.54
1408.47,2012-03-30,1408.47,1403.28
1419.04,2012-04-02,1419.04,1408.47
1413.38,2012-04-03,1413.38,1419.04
1398.96,2012-04-04,1398.96,1413.38
1398.08,2012-04-05,1398.08,1398.96
1382.2,2012-04-09,1382.2,1398.08
1358.59,2012-04-10,1358.59,1382.2
1368.71,2012-04-11,1368.71,1358.59
1387.57,2012-04-12,1387.57,1368.71
1370.26,2012-04-13,1370.26,1387.57
1369.57,2012-04-16,1369.57,1370.26
1390.78,2012-04-17,1390.78,1369.57
1385.14,2012-04-18,1385.14,1390.78
1376.92,2012-04-19,1376.92,1385.14
1378.53,2012-04-20,1378.53,1376.92
1366.94,2012-04-23,1366.94,1378.53
1371.97,2012-04-24,1371.97,1366.94
1390.69,2012-04-25,1390.69,1371.97
1399.98,2012-04-26,1399.98,1390.69
1403.36,2012-04-27,1403.36,1399.98
1397.91,2012-04-30,1397.91,1403.36
1405.82,2012-05-01,1405.82,1397.91
1402.31,2012-05-02,1402.31,1405.82
1391.57,2012-05-03,1391.57,1402.31
1369.1,2012-05-04,1369.1,1391.57
1369.58,2012-05-07,1369.58,1369.1
1363.72,2012-05-08,1363.72,1369.58
1354.58,2012-05-09,1354.58,1363.72
1357.99,2012-05-10,1357.99,1354.58
1353.39,2012-05-11,1353.39,1357.99
1338.35,2012-05-14,1338.35,1353.39
1330.66,2012-05-15,1330.66,1338.35
1324.8,2012-05-16,1324.8,1330.66
1304.86,2012-05-17,1304.86,1324.8
1295.22,2012-05-18,1295.22,1304.86
1315.99,2012-05-21,1315.99,1295.22
1316.63,2012-05-22,1316.63,1315.99
1318.86,2012-05-23,1318.86,1316.63
1320.68,2012-05-24,1320.68,1318.86
1317.82,2012-05-25,1317.82,1320.68
1332.42,2012-05-29,1332.42,1317.82
1313.32,2012-05-30,1313.32,1332.42
1310.33,2012-05-31,1310.33,1313.32
1278.04,2012-06-01,1278.04,1310.33
1278.18,2012-06-04,1278.18,1278.04
1285.5,2012-06-05,1285.5,1278.18
1315.13,2012-06-06,1315.13,1285.5
1314.99,2012-06-07,1314.99,1315.13
1325.66,2012-06-08,1325.66,1314.99
1308.93,2012-06-11,1308.93,1325.66
1324.18,2012-06-12,1324.18,1308.93
1314.88,2012-06-13,1314.88,1324.18
1329.1,2012-06-14,1329.1,1314.88
1342.84,2012-06-15,1342.84,1329.1
1344.78,2012-06-18,1344.78,1342.84
1357.98,2012-06-19,1357.98,1344.78
1355.69,2012-06-20,1355.69,1357.98
1325.51,2012-06-21,1325.51,1355.69
1335.02,2012-06-22,1335.02,1325.51
1313.72,2012-06-25,1313.72,1335.02
1319.99,2012-06-26,1319.99,1313.72
1331.85,2012-06-27,1331.85,1319.99
1329.04,2012-06-28,1329.04,1331.85
1362.16,2012-06-29,1362.16,1329.04
1365.51,2012-07-02,1365.51,1362.16
1374.02,2012-07-03,1374.02,1365.51
1367.58,2012-07-05,1367.58,1374.02
1354.68,2012-07-06,1354.68,1367.58
1352.46,2012-07-09,1352.46,1354.68
1341.47,2012-07-10,1341.47,1352.46
1341.45,2012-07-11,1341.45,1341.47
1334.76,2012-07-12,1334.76,1341.45
1356.78,2012-07-13,1356.78,1334.76
1353.64,2012-07-16,1353.64,1356.78
1363.67,2012-07-17,1363.67,1353.64
1372.78,2012-07-18,1372.78,1363.67
1376.51,2012-07-19,1376.51,1372.78
1362.66,2012-07-20,1362.66,1376.51
1350.52,2012-07-23,1350.52,1362.66
1338.31,2012-07-24,1338.31,1350.52
1337.89,2012-07-25,1337.89,1338.31
1360.02,2012-07-26,1360.02,1337.89
1385.97,2012-07-27,1385.97,1360.02
1385.3,2012-07-30,1385.3,1385.97
1379.32,2012-07-31,1379.32,1385.3
1375.14,2012-08-01,1375.14,1379.32
1365.0,2012-08-02,1365.0,1375.14
1390.99,2012-08-03,1390.99,1365.0
1394.23,2012-08-06,1394.23,1390.99
1401.35,2012-08-07,1401.35,1394.23
1402.22,2012-08-08,1402.22,1401.35
1402.8,2012-08-09,1402.8,1402.22
1405.87,2012-08-10,1405.87,1402.8
1404.11,2012-08-13,1404.11,1405.87
1403.93,2012-08-14,1403.93,1404.11
1405.53,2012-08-15,1405.53,1403.93
1415.51,2012-08-16,1415.51,1405.53
1418.16,2012-08-17,1418.16,1415.51
1418.13,2012-08-20,1418.13,1418.16
1413.17,2012-08-21,1413.17,1418.13
1413.49,2012-08-22,1413.49,1413.17
1402.08,2012-08-23,1402.08,1413.49
1411.13,2012-08-24,1411.13,1402.08
1410.44,2012-08-27,1410.44,1411.13
1409.3,2012-08-28,1409.3,1410.44
1410.49,2012-08-29,1410.49,1409.3
1399.48,2012-08-30,1399.48,1410.49
1406.58,2012-08-31,1406.58,1399.48
1404.94,2012-09-04,1404.94,1406.58
1403.44,2012-09-05,1403.44,1404.94
1432.12,2012-09-06,1432.12,1403.44
1437.92,2012-09-07,1437.92,1432.12
1429.08,2012-09-10,1429.08,1437.92
1433.56,2012-09-11,1433.56,1429.08
1436.56,2012-09-12,1436.56,1433.56
1459.99,2012-09-13,1459.99,1436.56
1465.77,2012-09-14,1465.77,1459.99
1461.19,2012-09-17,1461.19,1465.77
1459.32,2012-09-18,1459.32,1461.19
1461.05,2012-09-19,1461.05,1459.32
1460.26,2012-09-20,1460.26,1461.05
1460.15,2012-09-21,1460.15,1460.26
1456.89,2012-09-24,1456.89,1460.15
1441.59,2012-09-25,1441.59,1456.89
1433.32,2012-09-26,1433.32,1441.59
1447.15,2012-09-27,1447.15,1433.32
1440.67,2012-09-28,1440.67,1447.15
1444.49,2012-10-01,1444.49,1440.67
1445.75,2012-10-02,1445.75,1444.49
1450.99,2012-10-03,1450.99,1445.75
1461.4,2012-10-04,1461.4,1450.99
1460.93,2012-10-05,1460.93,1461.4
1455.88,2012-10-08,1455.88,1460.93
1441.48,2012-10-09,1441.48,1455.88
1432.56,2012-10-10,1432.56,1441.48
1432.84,2012-10-11,1432.84,1432.56
1428.59,2012-10-12,1428.59,1432.84
1440.13,2012-10-15,1440.13,1428.59
1454.92,2012-10-16,1454.92,1440.13
1460.91,2012-10-17,1460.91,1454.92
1457.34,2012-10-18,1457.34,1460.91
1433.19,2012-10-19,1433.19,1457.34
1433.82,2012-10-22,1433.82,1433.19
1413.11,2012-10-23,1413.11,1433.82
1408.75,2012-10-24,1408.75,1413.11
1412.97,2012-10-25,1412.97,1408.75
1411.94,2012-10-26,1411.94,1412.97
1412.16,2012-10-31,1412.16,1411.94
1427.59,2012-11-01,1427.59,1412.16
1414.2,2012-11-02,1414.2,1427.59
1417.26,2012-11-05,1417.26,1414.2
1428.39,2012-11-06,1428.39,1417.26
1394.53,2012-11-07,1394.53,1428.39
1377.51,2012-11-08,1377.51,1394.53
1379.85,2012-11-09,1379.85,1377.51
1380.03,2012-11-12,1380.03,1379.85
1374.53,2012-11-13,1374.53,1380.03
1355.49,2012-11-14,1355.49,1374.53
1353.33,2012-11-15,1353.33,1355.49
1359.88,2012-11-16,1359.88,1353.33
1386.89,2012-11-19,1386.89,1359.88
1387.81,2012-11-20,1387.81,1386.89
1391.03,2012-11-21,1391.03,1387.81
1409.15,2012-11-23,1409.15,1391.03
1406.29,2012-11-26,1406.29,1409.15
1398.94,2012-11-27,1398.94,1406.29
1409.93,2012-11-28,1409.93,1398.94
1415.95,2012-11-29,1415.95,1409.93
1416.18,2012-11-30,1416.18,1415.95
1409.46,2012-12-03,1409.46,1416.18
1407.05,2012-12-04,1407.05,1409.46
1409.28,2012-12-05,1409.28,1407.05
1413.94,2012-12-06,1413.94,1409.28
1418.07,2012-12-07,1418.07,1413.94
1418.55,2012-12-10,1418.55,1418.07
1427.84,2012-12-11,1427.84,1418.55
1428.48,2012-12-12,1428.48,1427.84
1419.45,2012-12-13,1419.45,1428.48
1413.58,2012-12-14,1413.58,1419.45
1430.36,2012-12-17,1430.36,1413.58
1446.79,2012-12-18,1446.79,1430.36
1435.81,2012-12-19,1435.81,1446.79
1443.69,2012-12-20,1443.69,1435.81
1430.15,2012-12-21,1430.15,1443.69
