testValue,time,trainValue,prediction
378,2007-01-01,378,476.53814643944725
401,2007-01-02,401,588.5569593910822
413,2007-01-03,413,700.694819418758
425,2007-01-04,425,817.8823615309248
418,2007-01-05,418,941.0305876958703
436,2007-01-06,436,1077.1722403589754
436,2007-01-07,436,1209.504977006872
450,2007-01-08,450,414.0094605258942
432,2007-01-09,432,381.75838704270933
432,2007-01-10,432,353.5275567150862
417,2007-01-11,417,329.40985481614655
405,2007-01-12,405,309.20122648965526
393,2007-01-13,393,289.10786627239577
393,2007-01-14,393,269.9754010177652
404,2007-01-15,404,393.98786579090233
431,2007-01-16,431,379.02955700539474
466,2007-01-17,466,372.8554394910414
478,2007-01-18,478,377.99735865126695
455,2007-01-19,455,378.95834821988524
408,2007-01-20,408,379.8856036653619
385,2007-01-21,385,377.96835178602555
358,2007-01-22,358,361.8260125614986
351,2007-01-23,351,340.68934617509547
351,2007-01-24,351,320.62709820163974
350,2007-01-25,350,300.5814407955478
346,2007-01-26,346,280.4590017644528
334,2007-01-27,334,260.33133264789006
809,2007-01-28,809,240.18029210423921
522,2007-01-29,522,1283.9834322741883
494,2007-01-30,494,1728.188062566021
486,2007-01-31,486,2200.6027728151266
510,2007-02-01,510,2712.4291938840047
548,2007-02-02,548,3189.087517927269
616,2007-02-03,616,3661.7917099801325
705,2007-02-04,705,4152.568356655502
821,2007-02-05,821,811.1283923972696
680,2007-02-06,680,919.3829031916856
665,2007-02-07,665,1019.675276813136
649,2007-02-08,649,1108.8433651595374
642,2007-02-09,642,1197.9810079077954
634,2007-02-10,634,1292.1650730328763
615,2007-02-11,615,1405.179935253545
573,2007-02-12,573,595.3638396093444
541,2007-02-13,541,607.2415531933073
526,2007-02-14,526,642.5024560634366
541,2007-02-15,541,657.9805045703696
565,2007-02-16,565,614.471396779335
599,2007-02-17,599,469.9641602965812
947,2007-02-18,947,313.42442906364477
1144,2007-02-19,1144,1325.3352969679354
1316,2007-02-20,1316,1718.054718832441
1409,2007-02-21,1409,2111.7716345980557
1505,2007-02-22,1505,2509.418055909076
1593,2007-02-23,1593,2928.9823943348383
1590,2007-02-24,1590,3362.6848650929464
1589,2007-02-25,1589,3799.4044125219298
1659,2007-02-26,1659,1591.0018947626595
1545,2007-02-27,1545,1629.5921867266131
1322,2007-02-28,1322,1686.6622645011846
1012,2007-03-01,1012,1757.6633172288164
888,2007-03-02,888,1861.38857194847
764,2007-03-03,764,1941.7220726200833
685,2007-03-04,685,1857.8404319451731
623,2007-03-05,623,653.9748574658141
576,2007-03-06,576,707.4877184807364
527,2007-03-07,527,945.4365792693126
487,2007-03-08,487,1163.894335623872
468,2007-03-09,468,1180.1641360464223
470,2007-03-10,470,1162.541606116355
469,2007-03-11,469,1286.864023803576
463,2007-03-12,463,584.709833832071
471,2007-03-13,471,874.7453273572265
509,2007-03-14,509,1081.2555234779275
568,2007-03-15,568,916.9635274935728
605,2007-03-16,605,546.1776167455903
619,2007-03-17,619,86.73853350297054
605,2007-03-18,605,-340.70839764466666
587,2007-03-19,587,690.4241798498173
558,2007-03-20,558,837.6137059144196
549,2007-03-21,549,1045.5491941017954
542,2007-03-22,542,1303.5373423113624
544,2007-03-23,544,1579.8196013956554
544,2007-03-24,544,1854.8879220294239
544,2007-03-25,544,2129.721495227861
540,2007-03-26,540,545.1883919573048
513,2007-03-27,513,553.3152167305338
487,2007-03-28,487,561.5065798625892
447,2007-03-29,447,571.5513172338942
422,2007-03-30,422,586.5408913047588
402,2007-03-31,402,605.6950662099155
402,2007-04-01,402,728.9717859266592
400,2007-04-02,400,345.19377935334387
398,2007-04-03,398,322.3312556197963
398,2007-04-04,398,320.27472987501415
383,2007-04-05,383,256.8700193304656
366,2007-04-06,366,139.58402010591024
360,2007-04-07,360,10.064163788038059
370,2007-04-08,370,-95.36604294456322
401,2007-04-09,401,446.9301476843598
455,2007-04-10,455,611.1553004571782
508,2007-04-11,508,1007.1299205017917
542,2007-04-12,542,1120.5985742004214
553,2007-04-13,553,908.257939596402
549,2007-04-14,549,949.8838937346532
546,2007-04-15,546,1083.4708558814482
541,2007-04-16,541,349.0378019727018
556,2007-04-17,556,-65.9916263125474
568,2007-04-18,568,-442.6298737052202
560,2007-04-19,560,-643.9269295235815
545,2007-04-20,545,-785.2871617308555
533,2007-04-21,533,-925.1231733508572
527,2007-04-22,527,-1058.6149618643271
517,2007-04-23,517,527.319477858094
496,2007-04-24,496,532.49723583596
463,2007-04-25,463,533.7851463889072
437,2007-04-26,437,532.9118973783928
421,2007-04-27,421,535.0070536714143
436,2007-04-28,436,537.2326991155181
448,2007-04-29,448,540.428167025961
466,2007-04-30,466,462.0149284553195
468,2007-05-01,468,475.99078978447636
472,2007-05-02,472,657.5930276592513
466,2007-05-03,466,666.3813975696888
465,2007-05-04,465,674.9458051070993
465,2007-05-05,465,712.7013666496514
453,2007-05-06,453,768.7848421042179
437,2007-05-07,437,412.2731840139976
407,2007-05-08,407,377.9294586214012
392,2007-05-09,392,469.85871822011495
365,2007-05-10,365,599.4489809062393
363,2007-05-11,363,648.3339135387916
358,2007-05-12,358,666.8207076879016
353,2007-05-13,353,646.7985368959514
340,2007-05-14,340,274.23127050131967
343,2007-05-15,343,203.5096625126552
358,2007-05-16,358,167.19092687083736
367,2007-05-17,367,113.55341714553987
352,2007-05-18,352,12.712622114406656
333,2007-05-19,333,-148.24911683730954
317,2007-05-20,317,-305.8666378848323
307,2007-05-21,307,364.05427953841826
300,2007-05-22,300,450.8269678343486
310,2007-05-23,310,542.664371128732
321,2007-05-24,321,627.3164714635177
336,2007-05-25,336,711.7628520136916
338,2007-05-26,338,806.2350200480513
333,2007-05-27,333,897.8989707239735
318,2007-05-28,318,316.9903499988351
301,2007-05-29,301,311.70333045402845
296,2007-05-30,296,370.1201843815818
292,2007-05-31,292,458.28263577938276
292,2007-06-01,292,404.52493723774603
313,2007-06-02,313,389.96365040126716
344,2007-06-03,344,388.0699133653276
370,2007-06-04,370,384.8208680769196
348,2007-06-05,348,427.63401087689874
317,2007-06-06,317,476.36732383829303
291,2007-06-07,291,521.2285877104993
298,2007-06-08,298,559.0575868269816
307,2007-06-09,307,593.8121867509645
308,2007-06-10,308,624.5392771447157
303,2007-06-11,303,311.0237234113106
303,2007-06-12,303,317.0817178351207
308,2007-06-13,308,314.23882141515713
312,2007-06-14,312,308.2182357989428
311,2007-06-15,311,308.15535535815025
307,2007-06-16,307,309.2640404150948
299,2007-06-17,299,315.35369080094483
286,2007-06-18,286,295.9401647925375
265,2007-06-19,265,294.8759937253228
248,2007-06-20,248,293.84706967558077
237,2007-06-21,237,288.8901471923784
248,2007-06-22,248,283.81395222909555
257,2007-06-23,257,281.7551415408465
272,2007-06-24,272,280.736945607687
277,2007-06-25,277,283.9678642502846
289,2007-06-26,289,294.91802393613744
289,2007-06-27,289,304.90732403164657
273,2007-06-28,273,312.9214615150704
253,2007-06-29,253,322.84429637322353
241,2007-06-30,241,336.8113580196517
241,2007-07-01,241,351.87437833706986
251,2007-07-02,251,137.7147823438099
248,2007-07-03,248,134.9695761975202
263,2007-07-04,263,132.72569317000944
254,2007-07-05,254,130.58799481464692
236,2007-07-06,236,133.5026433940781
206,2007-07-07,206,142.37538007526055
207,2007-07-08,207,164.24723003531068
221,2007-07-09,221,204.17757457757003
244,2007-07-10,244,179.36859006852578
252,2007-07-11,252,144.28970057558882
274,2007-07-12,274,113.24039598993954
274,2007-07-13,274,86.29734236169293
278,2007-07-14,278,63.268489002558994
256,2007-07-15,256,40.353164953422635
255,2007-07-16,255,234.9697706900355
249,2007-07-17,249,214.92690110066454
249,2007-07-18,249,178.93904942585408
253,2007-07-19,253,151.7299228391901
256,2007-07-20,256,135.83675102010025
256,2007-07-21,256,115.76635301261689
256,2007-07-22,256,95.66255758499358
256,2007-07-23,256,253.15999510935933
267,2007-07-24,267,250.14830744860052
267,2007-07-25,267,249.17650219557072
268,2007-07-26,268,249.27573358324236
256,2007-07-27,256,249.39206376016514
244,2007-07-28,244,249.4321163571581
227,2007-07-29,227,249.46662247669698
231,2007-07-30,231,210.0281425240747
236,2007-07-31,236,193.0117169224006
240,2007-08-01,240,145.39784104628305
242,2007-08-02,242,125.85913203935144
231,2007-08-03,231,145.7619539695528
230,2007-08-04,230,130.50227945505642
229,2007-08-05,229,111.28129227097776
237,2007-08-06,237,246.0741916319652
250,2007-08-07,250,280.2784540848082
248,2007-08-08,248,316.5809482975753
244,2007-08-09,244,344.9875054711054
232,2007-08-10,232,362.2181074068817
232,2007-08-11,232,379.4305160252512
232,2007-08-12,232,401.68795756017204
232,2007-08-13,232,250.83263903185824
232,2007-08-14,232,269.0233940616469
232,2007-08-15,232,318.7303437756859
221,2007-08-16,221,391.8219117676248
219,2007-08-17,219,445.1347291288752
215,2007-08-18,215,439.456595106167
226,2007-08-19,226,332.7828115099237
231,2007-08-20,231,224.95560721287507
242,2007-08-21,242,254.27258149041708
246,2007-08-22,246,298.0060038715559
239,2007-08-23,239,342.71867520968755
235,2007-08-24,235,391.37281152333986
228,2007-08-25,228,461.9340647239453
230,2007-08-26,230,546.6288226406289
236,2007-08-27,236,235.03406208280586
236,2007-08-28,236,243.07620009817725
226,2007-08-29,226,287.6710788939505
197,2007-08-30,197,350.78390163517395
190,2007-08-31,190,427.82105836210513
199,2007-09-01,199,537.605177069231
213,2007-09-02,213,623.959140138491
218,2007-09-03,218,62.806214507930164
211,2007-09-04,211,-39.39204997851071
209,2007-09-05,209,-57.05307067392006
216,2007-09-06,216,109.71407500113955
224,2007-09-07,224,257.02329647825735
235,2007-09-08,235,202.1425497351753
235,2007-09-09,235,113.33316947007904
236,2007-09-10,236,376.95540790995886
242,2007-09-11,242,635.5962838552637
242,2007-09-12,242,1068.5711252432764
242,2007-09-13,242,1418.0519196138712
231,2007-09-14,231,1396.7309730173977
216,2007-09-15,216,1168.8675501503906
187,2007-09-16,187,852.3597869291757
169,2007-09-17,169,189.9893433533034
148,2007-09-18,148,292.39399256180025
151,2007-09-19,151,456.577393183809
145,2007-09-20,145,681.5068970393041
167,2007-09-21,167,956.4851270106033
188,2007-09-22,188,1249.7620731870893
203,2007-09-23,203,1541.8220576380122
212,2007-09-24,212,217.76400857548143
214,2007-09-25,214,233.71543514888447
217,2007-09-26,217,256.6033382176751
212,2007-09-27,212,279.56134150383104
213,2007-09-28,213,304.3679546203368
212,2007-09-29,212,334.12367218828325
