testValue,time,trainValue,prediction
27.298000000000002,2016-03-01 00:00:00,27.298000000000002,25.97964231645669
176.81799999999998,2016-03-01 01:00:00,176.81799999999998,116.63182669003622
137.341,2016-03-01 02:00:00,137.341,117.200840361913
116.53200000000001,2016-03-01 03:00:00,116.53200000000001,89.1795484467894
84.029,2016-03-01 04:00:00,84.029,55.85207639249224
54.508,2016-03-01 05:00:00,54.508,35.40976733448575
23.653000000000002,2016-03-01 06:00:00,23.653000000000002,21.29937911160299
21.27,2016-03-01 07:00:00,21.27,20.621886201316045
12.283,2016-03-01 08:00:00,12.283,17.04388771519845
21.433000000000003,2016-03-01 09:00:00,21.433000000000003,23.948634320552074
16.359,2016-03-01 10:00:00,16.359,20.146328889823863
22.109,2016-03-01 11:00:00,22.109,23.32973239751003
24.633000000000003,2016-03-01 12:00:00,24.633000000000003,30.139800249937124
16.869,2016-03-01 13:00:00,16.869,33.76525068959914
19.964000000000002,2016-03-01 14:00:00,19.964000000000002,39.64616866997113
27.226,2016-03-01 15:00:00,27.226,34.12666427191681
21.289,2016-03-01 16:00:00,21.289,31.516643121432864
13.712,2016-03-01 17:00:00,13.712,23.15050977216309
14.914000000000001,2016-03-01 18:00:00,14.914000000000001,21.913371076768314
14.902000000000001,2016-03-01 19:00:00,14.902000000000001,19.781502410160016
18.837,2016-03-01 20:00:00,18.837,19.49392176961817
28.119,2016-03-01 21:00:00,28.119,25.830179395645118
20.42,2016-03-01 22:00:00,20.42,25.43040882252184
16.541,2016-03-01 23:00:00,16.541,21.46891167614251
22.875999999999998,2016-03-02 00:00:00,22.875999999999998,21.862644859110816
167.044,2016-03-02 01:00:00,167.044,117.87137220834315
149.85399999999998,2016-03-02 02:00:00,149.85399999999998,110.51846312030654
113.38799999999999,2016-03-02 03:00:00,113.38799999999999,85.0686456684187
70.66,2016-03-02 04:00:00,70.66,51.75960653184256
29.313000000000002,2016-03-02 05:00:00,29.313000000000002,30.438808884227186
13.620999999999999,2016-03-02 06:00:00,13.620999999999999,15.474616638367493
11.411,2016-03-02 07:00:00,11.411,16.018429073814787
5.605,2016-03-02 08:00:00,5.605,12.402478278261228
4.0169999999999995,2016-03-02 09:00:00,4.0169999999999995,20.005827816568086
8.97,2016-03-02 10:00:00,8.97,16.079129837161744
8.999,2016-03-02 11:00:00,8.999,19.58608181465577
8.683,2016-03-02 12:00:00,8.683,25.845115846038823
39.493,2016-03-02 13:00:00,39.493,28.703881468705646
29.729,2016-03-02 14:00:00,29.729,35.21964312134463
38.896,2016-03-02 15:00:00,38.896,31.313744458063127
28.298000000000002,2016-03-02 16:00:00,28.298000000000002,27.613182383930237
