testValue,time,trainValue,prediction
1265.33,2011-12-23,1265.33,1239.8124339470698
1265.43,2011-12-27,1265.43,1236.8594153062397
1249.64,2011-12-28,1249.64,1220.3501923381846
1263.02,2011-12-29,1263.02,1208.844968364458
1257.6,2011-12-30,1257.6,1236.8450890959323
1277.06,2012-01-03,1277.06,1252.5203785630995
1277.3,2012-01-04,1277.3,1276.645711023888
1281.06,2012-01-05,1281.06,1283.9318309975056
1277.81,2012-01-06,1277.81,1286.4319494336382
1280.7,2012-01-09,1280.7,1284.333857301633
1292.08,2012-01-10,1292.08,1290.958738164036
1292.48,2012-01-11,1292.48,1297.1304504340405
1295.5,2012-01-12,1295.5,1300.5675623350478
1289.09,2012-01-13,1289.09,1307.183492523995
1293.67,2012-01-17,1293.67,1296.8558039029176
1308.04,2012-01-18,1308.04,1297.5711083053225
1314.5,2012-01-19,1314.5,1312.213225715935
1315.38,2012-01-20,1315.38,1322.0625249143104
1316.0,2012-01-23,1316.0,1323.0679145770905
1314.65,2012-01-24,1314.65,1326.7184262829287
1326.05,2012-01-25,1326.05,1319.3672381407177
1318.43,2012-01-26,1318.43,1333.3101699248787
1316.33,2012-01-27,1316.33,1325.174559781975
1313.01,2012-01-30,1313.01,1328.098036619575
1312.41,2012-01-31,1312.41,1320.5357152179408
1324.09,2012-02-01,1324.09,1314.791682749542
1325.54,2012-02-02,1325.54,1327.022348690566
1344.9,2012-02-03,1344.9,1328.810866993801
1344.33,2012-02-06,1344.33,1352.542900631301
1347.05,2012-02-07,1347.05,1351.9464096984057
1349.96,2012-02-08,1349.96,1353.5377486971604
1351.95,2012-02-09,1351.95,1349.0776551018603
1342.64,2012-02-10,1342.64,1353.858237826273
1351.77,2012-02-13,1351.77,1357.885501577512
1350.5,2012-02-14,1350.5,1352.478888386796
1343.23,2012-02-15,1343.23,1357.7617668497865
1358.04,2012-02-16,1358.04,1347.3131281568014
1361.23,2012-02-17,1361.23,1358.6163743129955
1362.21,2012-02-21,1362.21,1364.6195485642168
1357.66,2012-02-22,1357.66,1375.2650135380518
1363.46,2012-02-23,1363.46,1362.1934134268786
1365.74,2012-02-24,1365.74,1363.3044184916719
1367.59,2012-02-27,1367.59,1370.7893623541213
1372.18,2012-02-28,1372.18,1369.8865522228257
