testValue,time,trainValue,prediction
378,2007-01-01,378,377.7010753418476
401,2007-01-02,401,139.59166552873893
413,2007-01-03,413,189.9286269499471
425,2007-01-04,425,237.82816129501833
418,2007-01-05,418,303.53633620198536
436,2007-01-06,436,386.2488576050495
436,2007-01-07,436,470.96807705962107
450,2007-01-08,450,429.0341602433802
432,2007-01-09,432,411.0669078320732
432,2007-01-10,432,393.0980798836817
417,2007-01-11,417,380.11997531637
405,2007-01-12,405,386.1432863231407
393,2007-01-13,393,391.19184851103597
393,2007-01-14,393,428.197286018354
404,2007-01-15,404,417.07292945983033
431,2007-01-16,431,421.1881683809404
466,2007-01-17,466,366.2922901576311
478,2007-01-18,478,210.39038269818806
455,2007-01-19,455,43.40719137784669
408,2007-01-20,408,-93.5336529321607
385,2007-01-21,385,-216.44490783407747
358,2007-01-22,358,362.6002759812829
351,2007-01-23,351,344.2044188366912
351,2007-01-24,351,347.81574113363064
350,2007-01-25,350,365.4311379983593
346,2007-01-26,346,386.0478514434882
334,2007-01-27,334,409.66103770852465
809,2007-01-28,809,470.2468396404735
522,2007-01-29,522,1278.292158692387
494,2007-01-30,494,1761.6223401048276
486,2007-01-31,486,2277.930543539168
510,2007-02-01,510,2770.304753852629
548,2007-02-02,548,3097.7313870969188
616,2007-02-03,616,3475.911767884404
705,2007-02-04,705,3937.2049357835645
821,2007-02-05,821,982.2688924914755
680,2007-02-06,680,1237.7560827122068
665,2007-02-07,665,1291.223903729312
649,2007-02-08,649,1313.4428685463731
642,2007-02-09,642,1477.653445552267
634,2007-02-10,634,1757.0071353300461
615,2007-02-11,615,2211.314990326854
573,2007-02-12,573,520.380171203225
541,2007-02-13,541,54.73312049632045
526,2007-02-14,526,-614.2051564614503
541,2007-02-15,541,-1372.1252989304544
565,2007-02-16,565,-2098.044253673589
599,2007-02-17,599,-2724.9256644686197
947,2007-02-18,947,-3290.731095893393
1144,2007-02-19,1144,1342.8343257158522
1316,2007-02-20,1316,1788.7279445345314
1409,2007-02-21,1409,2252.6125967159774
1505,2007-02-22,1505,2715.5126101521982
1593,2007-02-23,1593,3178.3929104050403
1590,2007-02-24,1590,3642.2624506748894
1589,2007-02-25,1589,4113.138946947965
1659,2007-02-26,1659,1588.527272765743
1545,2007-02-27,1545,1590.033601584161
1322,2007-02-28,1322,1596.536977280286
1012,2007-03-01,1012,1607.056298694014
888,2007-03-02,888,1722.4774749497108
764,2007-03-03,764,1779.0971741529409
685,2007-03-04,685,1871.5850561775528
623,2007-03-05,623,625.3668061344772
576,2007-03-06,576,503.8022826689684
527,2007-03-07,527,329.18644878133273
487,2007-03-08,487,142.49775622765094
468,2007-03-09,468,-20.152481048043825
470,2007-03-10,470,-115.78596669183759
469,2007-03-11,469,-124.43347796668274
463,2007-03-12,463,705.7935785827796
471,2007-03-13,471,655.0507796233107
509,2007-03-14,509,281.98737502317647
568,2007-03-15,568,167.4654966320487
605,2007-03-16,605,139.44627996759925
619,2007-03-17,619,-83.44442806630366
605,2007-03-18,605,-522.5412827159486
587,2007-03-19,587,621.426939467318
558,2007-03-20,558,811.9506060181403
549,2007-03-21,549,1060.642981838038
542,2007-03-22,542,1311.2996612582424
544,2007-03-23,544,1568.9171813700348
544,2007-03-24,544,1832.5420186896904
544,2007-03-25,544,2101.1720598270836
540,2007-03-26,540,540.2602621279472
513,2007-03-27,513,534.5277409257617
487,2007-03-28,487,531.8013309400482
447,2007-03-29,447,529.0827389346066
422,2007-03-30,422,527.3608650775632
402,2007-03-31,402,527.6302135385032
402,2007-04-01,402,527.8990988551957
400,2007-04-02,400,569.8277489882821
398,2007-04-03,398,561.0039546204682
398,2007-04-04,398,555.8244192582819
383,2007-04-05,383,578.7540132197717
366,2007-04-06,366,619.6944669955974
360,2007-04-07,360,631.6662558752814
370,2007-04-08,370,650.600626162635
401,2007-04-09,401,506.31168650818836
455,2007-04-10,455,678.807286099854
508,2007-04-11,508,770.3165677125988
542,2007-04-12,542,832.7000505656698
553,2007-04-13,553,856.1413945219674
549,2007-04-14,549,805.5972699956016
546,2007-04-15,546,763.9616290114965
541,2007-04-16,541,577.2998803194478
556,2007-04-17,556,590.6437142431805
568,2007-04-18,568,557.0043817945239
560,2007-04-19,560,463.3197794209258
545,2007-04-20,545,373.58733351653245
533,2007-04-21,533,346.85936190098
527,2007-04-22,527,359.20252734527
517,2007-04-23,517,527.9029745157385
496,2007-04-24,496,521.7841476418436
463,2007-04-25,463,515.6655525833833
437,2007-04-26,437,519.5393736172705
