testValue,time,trainValue,prediction
378,2007-01-01,378,363.1441632621855
401,2007-01-02,401,364.13343368928787
413,2007-01-03,413,364.48048004165366
425,2007-01-04,425,364.9600961364317
418,2007-01-05,418,365.4003629528384
436,2007-01-06,436,365.8396435509815
436,2007-01-07,436,366.26958968738325
450,2007-01-08,450,435.028429772797
432,2007-01-09,432,434.2897042518436
432,2007-01-10,432,433.51640687200563
417,2007-01-11,417,432.7675379417059
405,2007-01-12,405,432.029713039831
393,2007-01-13,393,431.30560602829706
393,2007-01-14,393,430.59433475437635
404,2007-01-15,404,392.87663467097934
431,2007-01-16,431,392.78283628930365
466,2007-01-17,466,392.68466516786236
478,2007-01-18,478,392.5896052659012
455,2007-01-19,455,392.49595908773773
408,2007-01-20,408,392.404065036942
385,2007-01-21,385,392.313810911871
358,2007-01-22,358,390.04673968459235
351,2007-01-23,351,388.907955985638
351,2007-01-24,351,389.13391547720414
350,2007-01-25,350,389.0593214463012
346,2007-01-26,346,389.05146388837903
334,2007-01-27,334,389.0293251988656
809,2007-01-28,809,389.01076673589375
522,2007-01-29,522,695.7473008283177
494,2007-01-30,494,714.146125209822
486,2007-01-31,486,703.2374598022419
510,2007-02-01,510,699.0062814270176
548,2007-02-02,548,693.4047509355138
616,2007-02-03,616,688.2299555691725
705,2007-02-04,705,683.0778892703477
821,2007-02-05,821,681.6697397981474
680,2007-02-06,680,686.6212582406635
665,2007-02-07,665,684.662779264217
649,2007-02-08,649,684.5635362157807
642,2007-02-09,642,684.1070102867387
634,2007-02-10,634,683.8277287201223
615,2007-02-11,615,683.5759911419937
573,2007-02-12,573,614.4560391425224
541,2007-02-13,541,609.5293925276366
526,2007-02-14,526,605.7650683296933
541,2007-02-15,541,601.8144326810086
565,2007-02-16,565,598.0031768693086
599,2007-02-17,599,594.2503775608535
947,2007-02-18,947,590.5739029046513
1144,2007-02-19,1144,855.3906366339054
1316,2007-02-20,1316,867.3931272435627
1409,2007-02-21,1409,855.182538587326
1505,2007-02-22,1505,848.8336236314434
1593,2007-02-23,1593,841.2668080171582
1590,2007-02-24,1590,834.1451179254383
1589,2007-02-25,1589,827.074462798521
1659,2007-02-26,1659,1604.3467040802038
1545,2007-02-27,1545,1612.273827609551
1322,2007-02-28,1322,1619.0467628935658
1012,2007-03-01,1012,1623.958125897159
888,2007-03-02,888,1627.692571036963
764,2007-03-03,764,1630.491846967651
685,2007-03-04,685,1632.599079686522
623,2007-03-05,623,658.4820792231128
576,2007-03-06,576,634.9879346603128
527,2007-03-07,527,620.5784725413914
487,2007-03-08,487,610.6755098809688
468,2007-03-09,468,604.1255954930222
470,2007-03-10,470,599.7385468088377
469,2007-03-11,469,596.812382108471
463,2007-03-12,463,464.3754223668003
471,2007-03-13,471,462.05632697654016
509,2007-03-14,509,460.2594978721188
568,2007-03-15,568,459.0616434853363
605,2007-03-16,605,458.2245371451573
619,2007-03-17,619,457.64842711204375
605,2007-03-18,605,457.24998284455023
