testValue,time,trainValue,prediction
378,2007-01-01,378,372.38452158720236
401,2007-01-02,401,378.43398154082666
413,2007-01-03,413,390.7417506250642
425,2007-01-04,425,394.25363096421717
418,2007-01-05,418,402.5146689684925
436,2007-01-06,436,400.80375167555735
436,2007-01-07,436,405.7826360856162
450,2007-01-08,450,429.3338478680938
432,2007-01-09,432,418.62014525860354
432,2007-01-10,432,409.06454147988353
417,2007-01-11,417,401.63462365013703
405,2007-01-12,405,398.48302535450443
393,2007-01-13,393,402.33016945405916
393,2007-01-14,393,401.98060023521845
404,2007-01-15,404,393.51407687876275
431,2007-01-16,431,389.873154589971
466,2007-01-17,466,391.40032699262605
478,2007-01-18,478,388.8807980950665
455,2007-01-19,455,389.03759904258914
408,2007-01-20,408,386.17488819762224
385,2007-01-21,385,385.4800551205929
358,2007-01-22,358,380.2455253611479
351,2007-01-23,351,375.3008535437681
351,2007-01-24,351,375.43513396080056
350,2007-01-25,350,375.05157879859877
346,2007-01-26,346,380.20451093949964
334,2007-01-27,334,379.4030437814405
809,2007-01-28,809,387.46013921790376
522,2007-01-29,522,861.6525908127372
494,2007-01-30,494,896.0849864133047
486,2007-01-31,486,883.9750309950579
510,2007-02-01,510,950.9141655783941
548,2007-02-02,548,882.6792111223388
616,2007-02-03,616,853.2845094006517
705,2007-02-04,705,833.9658571818629
821,2007-02-05,821,642.0120129582652
680,2007-02-06,680,696.0928618928929
665,2007-02-07,665,639.5171839966949
649,2007-02-08,649,672.5763732278963
642,2007-02-09,642,670.3488107382982
634,2007-02-10,634,656.4711980481368
615,2007-02-11,615,621.136795468534
573,2007-02-12,573,593.5368610719273
541,2007-02-13,541,603.2872852429001
526,2007-02-14,526,575.0613925446526
541,2007-02-15,541,589.3353808267012
565,2007-02-16,565,544.2917124019035
599,2007-02-17,599,602.9186611450998
947,2007-02-18,947,599.3229128576778
1144,2007-02-19,1144,952.9800346492046
1316,2007-02-20,1316,973.1844289921219
1409,2007-02-21,1409,970.6746619037996
1505,2007-02-22,1505,974.422575685895
1593,2007-02-23,1593,935.5856359093403
1590,2007-02-24,1590,905.3937747890221
1589,2007-02-25,1589,887.7493684552987
1659,2007-02-26,1659,1547.5425705986847
1545,2007-02-27,1545,1513.9960687365415
1322,2007-02-28,1322,1433.878248524401
1012,2007-03-01,1012,1389.3676890217143
888,2007-03-02,888,1341.8780415289987
764,2007-03-03,764,1307.5323276162628
685,2007-03-04,685,1267.8629351458483
623,2007-03-05,623,635.4308592025968
576,2007-03-06,576,651.8884248290988
527,2007-03-07,527,674.8559174734712
487,2007-03-08,487,721.379603543976
468,2007-03-09,468,772.0987804527794
470,2007-03-10,470,865.7509846379098
469,2007-03-11,469,972.9884819510853
463,2007-03-12,463,529.860495000757
471,2007-03-13,471,593.8390804742
509,2007-03-14,509,646.3193542659825
568,2007-03-15,568,671.3741556641755
605,2007-03-16,605,695.9899208964882
619,2007-03-17,619,693.6518365356205
605,2007-03-18,605,703.813018046748
587,2007-03-19,587,637.7659134122518
558,2007-03-20,558,664.1821847886312
549,2007-03-21,549,660.3478205673995
542,2007-03-22,542,645.2552441208094
544,2007-03-23,544,623.0613953438144
544,2007-03-24,544,600.0113147288982
544,2007-03-25,544,582.1354032258853
540,2007-03-26,540,538.4694317062886
513,2007-03-27,513,535.7668805000565
487,2007-03-28,487,543.3554259115429
447,2007-03-29,447,553.3746762349873
422,2007-03-30,422,562.877312021838
402,2007-03-31,402,573.5871602566936
402,2007-04-01,402,572.9290988740497
400,2007-04-02,400,397.6349394808618
398,2007-04-03,398,394.5890071365569
398,2007-04-04,398,391.49527808136446
383,2007-04-05,383,401.11252959047005
366,2007-04-06,366,423.5719581922759
360,2007-04-07,360,441.5505512455006
370,2007-04-08,370,462.8405903026643
401,2007-04-09,401,372.96256078854196
455,2007-04-10,455,364.41502928071736
508,2007-04-11,508,358.06825562662164
542,2007-04-12,542,353.2356097247308
553,2007-04-13,553,355.0007178399186
549,2007-04-14,549,363.713275258199
546,2007-04-15,546,375.80424700704907
541,2007-04-16,541,545.1292662129199
556,2007-04-17,556,545.4883091381903
568,2007-04-18,568,536.8082075140904
560,2007-04-19,560,523.0945068323358
545,2007-04-20,545,506.07850067361045
533,2007-04-21,533,485.63597569263595
527,2007-04-22,527,466.64419002240675
517,2007-04-23,517,512.3876626950611
496,2007-04-24,496,504.10166036510145
463,2007-04-25,463,506.19075788269214
437,2007-04-26,437,515.8019020552363
421,2007-04-27,421,516.9902954565496
436,2007-04-28,436,517.6511382683161
448,2007-04-29,448,513.9059863066623
466,2007-04-30,466,443.8423289614379
468,2007-05-01,468,454.64279395538637
472,2007-05-02,472,473.7437974903756
466,2007-05-03,466,494.25013181938147
465,2007-05-04,465,509.9523869373849
465,2007-05-05,465,517.057011921304
453,2007-05-06,453,513.9373834543487
437,2007-05-07,437,444.9428181781007
407,2007-05-08,407,436.9275935275192
392,2007-05-09,392,436.5500025887263
365,2007-05-10,365,440.76063800409304
363,2007-05-11,363,449.67840513584997
358,2007-05-12,358,457.3676626151367
353,2007-05-13,353,463.6806164548681
340,2007-05-14,340,352.66264434214935
343,2007-05-15,343,350.39037703534814
358,2007-05-16,358,346.93006062888304
367,2007-05-17,367,336.98303586719425
352,2007-05-18,352,340.13374778689445
333,2007-05-19,333,345.3590072080294
317,2007-05-20,317,356.3851182831541
307,2007-05-21,307,318.8872491214281
300,2007-05-22,300,321.25536357231454
310,2007-05-23,310,323.1157072852651
321,2007-05-24,321,323.5653522610332
336,2007-05-25,336,322.9203182092482
338,2007-05-26,338,318.2960926713731
333,2007-05-27,333,323.57502269568363
318,2007-05-28,318,342.45794701708064
301,2007-05-29,301,352.3507314844089
296,2007-05-30,296,353.5920563548537
292,2007-05-31,292,351.55383915232323
292,2007-06-01,292,351.69877014992693
313,2007-06-02,313,353.8815729839597
344,2007-06-03,344,353.6059219733498
370,2007-06-04,370,341.11543588045004
348,2007-06-05,348,341.0705412632241
317,2007-06-06,317,345.30857303608394
291,2007-06-07,291,351.8939285410389
298,2007-06-08,298,353.7633100217054
307,2007-06-09,307,357.7060262945735
308,2007-06-10,308,360.2636417790795
303,2007-06-11,303,306.3239670953384
303,2007-06-12,303,296.4513765559388
308,2007-06-13,308,284.33082796277125
312,2007-06-14,312,270.99317703501123
311,2007-06-15,311,267.7976770706448
307,2007-06-16,307,275.6390199926904
299,2007-06-17,299,285.9843873928663
286,2007-06-18,286,311.5634398949048
265,2007-06-19,265,319.3750752049631
248,2007-06-20,248,324.9555286402697
237,2007-06-21,237,321.3016204071799
248,2007-06-22,248,314.3380727958676
257,2007-06-23,257,298.9020806557035
272,2007-06-24,272,289.4758575977808
277,2007-06-25,277,270.19530370917363
