testValue,time,trainValue,prediction
1265.33,2011-12-23,1265.33,1252.83967773647
1265.43,2011-12-27,1265.43,1263.151310540326
1249.64,2011-12-28,1249.64,1264.8197981840437
1263.02,2011-12-29,1263.02,1251.8182980633605
1257.6,2011-12-30,1257.6,1262.2208393873664
1277.06,2012-01-03,1277.06,1257.330065219135
1277.3,2012-01-04,1277.3,1274.9521353736347
1281.06,2012-01-05,1281.06,1275.9912819489828
1277.81,2012-01-06,1277.81,1280.7314650329106
1280.7,2012-01-09,1280.7,1277.9846996310166
1292.08,2012-01-10,1292.08,1280.5542858926422
1292.48,2012-01-11,1292.48,1290.3528846608672
1295.5,2012-01-12,1295.5,1291.7573827609767
1289.09,2012-01-13,1289.09,1295.1713005610943
1293.67,2012-01-17,1293.67,1289.745036211544
1308.04,2012-01-18,1308.04,1293.4839627032013
1314.5,2012-01-19,1314.5,1305.7820410640716
1315.38,2012-01-20,1315.38,1312.798085640174
1316.0,2012-01-23,1316.0,1314.9825298284748
1314.65,2012-01-24,1314.65,1315.9043127603566
1326.05,2012-01-25,1326.05,1314.7923501657942
1318.43,2012-01-26,1318.43,1324.6293822868997
1316.33,2012-01-27,1316.33,1318.7181864848912
1313.01,2012-01-30,1313.01,1317.1896401493086
1312.41,2012-01-31,1312.41,1313.498543072924
1324.09,2012-02-01,1324.09,1312.6897317464811
1325.54,2012-02-02,1325.54,1322.5482435254353
1344.9,2012-02-03,1344.9,1324.6173586432922
1344.33,2012-02-06,1344.33,1342.349881977141
1347.05,2012-02-07,1347.05,1343.2068398423223
1349.96,2012-02-08,1349.96,1346.8935192964
1351.95,2012-02-09,1351.95,1349.378613184471
1342.64,2012-02-10,1342.64,1351.5361826339208
1351.77,2012-02-13,1351.77,1343.7659878656077
1350.5,2012-02-14,1350.5,1351.1543880795264
1343.23,2012-02-15,1343.23,1350.0192418117383
1358.04,2012-02-16,1358.04,1344.3616405641542
1361.23,2012-02-17,1361.23,1356.5049510629415
1362.21,2012-02-21,1362.21,1359.827035185366
1357.66,2012-02-22,1357.66,1362.027516241352
1363.46,2012-02-23,1363.46,1358.2083650250459
1365.74,2012-02-24,1365.74,1362.9840608882762
1367.59,2012-02-27,1367.59,1365.0338564561403
1372.18,2012-02-28,1372.18,1367.259452974464
1365.68,2012-02-29,1365.68,1371.4683040003697
1374.09,2012-03-01,1374.09,1366.2697296040249
1369.63,2012-03-02,1369.63,1373.4178003835875
1364.33,2012-03-05,1364.33,1369.6338761159448
1343.36,2012-03-06,1343.36,1365.3955854078288
1352.63,2012-03-07,1352.63,1346.4143697331954
1365.91,2012-03-08,1365.91,1352.6697908129245
1370.87,2012-03-09,1370.87,1363.3963252030808
1371.09,2012-03-12,1371.09,1369.4788743456777
1395.95,2012-03-13,1395.95,1370.8466096489585
1394.28,2012-03-14,1394.28,1392.6860803521668
1402.6,2012-03-15,1402.6,1392.9521031902557
1404.17,2012-03-16,1404.17,1401.8208603140522
1409.75,2012-03-19,1409.75,1403.4029682722928
1405.52,2012-03-20,1405.52,1408.9978798357017
1402.89,2012-03-21,1402.89,1405.7383203901802
1392.78,2012-03-22,1392.78,1403.5464458466686
1397.11,2012-03-23,1397.11,1394.2326416737976
1416.51,2012-03-26,1416.51,1397.146171533265
1412.52,2012-03-27,1412.52,1413.6000560423197
1405.54,2012-03-28,1405.54,1411.8866699952407
1403.28,2012-03-29,1403.28,1406.8627049198903
1408.47,2012-03-30,1408.47,1403.9615129175459
1419.04,2012-04-02,1419.04,1407.8766963707176
1413.38,2012-04-03,1413.38,1417.3100155622644
1398.96,2012-04-04,1398.96,1413.5070241599144
1398.08,2012-04-05,1398.08,1401.2966685814606
1382.2,2012-04-09,1382.2,1399.0478000315038
1358.59,2012-04-10,1358.59,1384.2323432972516
1368.71,2012-04-11,1368.71,1362.668215227961
1387.57,2012-04-12,1387.57,1368.7189783088497
1370.26,2012-04-13,1370.26,1384.2876632600598
1369.57,2012-04-16,1369.57,1371.4340853677975
1390.78,2012-04-17,1390.78,1370.9104215601446
1385.14,2012-04-18,1385.14,1387.8646256631405
1376.92,2012-04-19,1376.92,1384.5260155923
1378.53,2012-04-20,1378.53,1378.5536608634495
1366.94,2012-04-23,1366.94,1378.779132341084
1371.97,2012-04-24,1371.97,1368.2960512723446
1390.69,2012-04-25,1390.69,1372.0809755066482
1399.98,2012-04-26,1399.98,1387.7818489972863
1403.36,2012-04-27,1403.36,1397.5921240267348
1397.91,2012-04-30,1397.91,1402.465066651776
1405.82,2012-05-01,1405.82,1398.4690956496065
1402.31,2012-05-02,1402.31,1405.1502815239016
1391.57,2012-05-03,1391.57,1402.2089634863078
1369.1,2012-05-04,1369.1,1393.2929216370228
1369.58,2012-05-07,1369.58,1372.7098626402121
1363.72,2012-05-08,1363.72,1370.8818218096496
1354.58,2012-05-09,1354.58,1364.277707325682
1357.99,2012-05-10,1357.99,1356.1828561053894
1353.39,2012-05-11,1353.39,1358.0636261946759
1338.35,2012-05-14,1338.35,1353.700822724619
1330.66,2012-05-15,1330.66,1340.6532660417831
1324.8,2012-05-16,1324.8,1332.5521903536826
1304.86,2012-05-17,1304.86,1325.909742158574
1295.22,2012-05-18,1295.22,1307.7693121343734
1315.99,2012-05-21,1315.99,1297.6535133168904
1316.63,2012-05-22,1316.63,1313.7030075181203
1318.86,2012-05-23,1318.86,1315.1696230865257
1320.68,2012-05-24,1320.68,1318.7522491554748
1317.82,2012-05-25,1317.82,1320.273086112079
1332.42,2012-05-29,1332.42,1318.1107343538915
1313.32,2012-05-30,1313.32,1330.6982124368064
1310.33,2012-05-31,1310.33,1314.9069466392134
1278.04,2012-06-01,1278.04,1312.0519017277331
1278.18,2012-06-04,1278.18,1282.235483592224
1285.5,2012-06-05,1285.5,1280.0901654881445
1315.13,2012-06-06,1315.13,1284.2133519164543
1314.99,2012-06-07,1314.99,1310.8768477458048
1325.66,2012-06-08,1325.66,1313.2963133651378
1308.93,2012-06-11,1308.93,1324.5328648454658
1324.18,2012-06-12,1324.18,1310.4587892719942
1314.88,2012-06-13,1314.88,1323.2560889854788
1329.1,2012-06-14,1329.1,1315.063680084088
1342.84,2012-06-15,1342.84,1327.9082535540063
1344.78,2012-06-18,1344.78,1340.1178981238575
1357.98,2012-06-19,1357.98,1343.8500881919942
1355.69,2012-06-20,1355.69,1356.2415735006139
1325.51,2012-06-21,1325.51,1355.2284282727323
1335.02,2012-06-22,1335.02,1329.6820362467251
1313.72,2012-06-25,1313.72,1335.5151930897835
1319.99,2012-06-26,1319.99,1315.7327357906836
1331.85,2012-06-27,1331.85,1320.501907470054
1329.04,2012-06-28,1329.04,1329.7207499356819
1362.16,2012-06-29,1362.16,1328.810992791291
1365.51,2012-07-02,1365.51,1358.049903870895
1374.02,2012-07-03,1374.02,1363.175582955432
1367.58,2012-07-05,1367.58,1373.029783935587
1354.68,2012-07-06,1354.68,1367.9366292851162
1352.46,2012-07-09,1352.46,1356.8063692282299
1341.47,2012-07-10,1341.47,1353.3901029251601
1341.45,2012-07-11,1341.45,1342.9141413190337
1334.76,2012-07-12,1334.76,1342.048677115226
1356.78,2012-07-13,1356.78,1335.5367501407325
1353.64,2012-07-16,1353.64,1354.2771373114292
1363.67,2012-07-17,1363.67,1352.795570776426
1372.78,2012-07-18,1372.78,1362.7240385261152
1376.51,2012-07-19,1376.51,1370.9879253542244
1362.66,2012-07-20,1362.66,1375.6322520860197
1350.52,2012-07-23,1350.52,1364.3341652326178
1338.31,2012-07-24,1338.31,1352.8720059137725
1337.89,2012-07-25,1337.89,1340.42562035812
1360.02,2012-07-26,1360.02,1338.5114323273674
1385.97,2012-07-27,1385.97,1357.077788291265
1385.3,2012-07-30,1385.3,1381.442998027605
1379.32,2012-07-31,1379.32,1384.177026016061
1375.14,2012-08-01,1375.14,1380.312471444398
1365.0,2012-08-02,1365.0,1375.9685480742564
1390.99,2012-08-03,1390.99,1366.4854382893782
1394.23,2012-08-06,1394.23,1388.1563266876756
1401.35,2012-08-07,1401.35,1392.323813277227
1402.22,2012-08-08,1402.22,1400.4705713004616
1402.8,2012-08-09,1402.8,1401.718976794764
1405.87,2012-08-10,1405.87,1402.7350967508578
1404.11,2012-08-13,1404.11,1405.4424139077241
1403.93,2012-08-14,1403.93,1404.175933042945
1405.53,2012-08-15,1405.53,1404.071327550742
1415.51,2012-08-16,1415.51,1405.3162320277206
1418.16,2012-08-17,1418.16,1414.1413813125512
1418.13,2012-08-20,1418.13,1417.2981612336569
1413.17,2012-08-21,1413.17,1418.0708440477927
1413.49,2012-08-22,1413.49,1413.819464527579
1402.08,2012-08-23,1402.08,1413.7134180610838
1411.13,2012-08-24,1411.13,1403.4952066241885
1410.44,2012-08-27,1410.44,1410.5810432513945
1409.3,2012-08-28,1409.3,1409.954900609022
1410.49,2012-08-29,1410.49,1409.5663965185274
1399.48,2012-08-30,1399.48,1410.3802535627553
1406.58,2012-08-31,1406.58,1400.8312177917774
1404.94,2012-09-04,1404.94,1406.263043101982
1403.44,2012-09-05,1403.44,1404.6863007625657
1432.12,2012-09-06,1432.12,1403.7891583460548
1437.92,2012-09-07,1437.92,1428.460133747613
1429.08,2012-09-10,1429.08,1435.6303808615892
1433.56,2012-09-11,1433.56,1430.143235157142
1436.56,2012-09-12,1436.56,1433.4686969904499
1459.99,2012-09-13,1459.99,1435.854873193574
1465.77,2012-09-14,1465.77,1456.8590212953266
1461.19,2012-09-17,1461.19,1463.7924039460822
1459.32,2012-09-18,1459.32,1461.6606939457308
1461.05,2012-09-19,1461.05,1459.8241760891956
1460.26,2012-09-20,1460.26,1460.8875779398802
1460.15,2012-09-21,1460.15,1460.2600727936006
1456.89,2012-09-24,1456.89,1460.2217235889023
1441.59,2012-09-25,1441.59,1457.3066166007484
1433.32,2012-09-26,1433.32,1443.7330285914538
1447.15,2012-09-27,1447.15,1435.1720218403352
1440.67,2012-09-28,1440.67,1445.6990810874936
1444.49,2012-10-01,1444.49,1440.7094451458247
1445.75,2012-10-02,1445.75,1444.466874744134
1450.99,2012-10-03,1450.99,1445.3109644151164
1461.4,2012-10-04,1461.4,1450.2892446126775
1460.93,2012-10-05,1460.93,1459.7832459524668
1455.88,2012-10-08,1455.88,1460.472091013713
1441.48,2012-10-09,1441.48,1456.632505064307
1432.56,2012-10-10,1432.56,1443.585631293031
1432.84,2012-10-11,1432.84,1434.437253464325
1428.59,2012-10-12,1428.59,1433.1780539706842
1440.13,2012-10-15,1440.13,1429.0653108248996
1454.92,2012-10-16,1454.92,1438.8898334422079
1460.91,2012-10-17,1460.91,1452.3782649974085
1457.34,2012-10-18,1457.34,1459.4537983506996
1433.19,2012-10-19,1433.19,1457.578022913483
1433.82,2012-10-22,1433.82,1436.4883635164288
1413.11,2012-10-23,1413.11,1435.0106775424993
1408.75,2012-10-24,1408.75,1415.5257777737422
1412.97,2012-10-25,1412.97,1410.4242082054534
1411.94,2012-10-26,1411.94,1412.495327756048
1412.16,2012-10-31,1412.16,1411.8386679990303
1427.59,2012-11-01,1427.59,1412.2213334176895
1414.2,2012-11-02,1414.2,1425.6061603464047
1417.26,2012-11-05,1417.26,1415.0922358646244
1428.39,2012-11-06,1428.39,1417.701417532213
1394.53,2012-11-07,1394.53,1426.676437372924
1377.51,2012-11-08,1377.51,1398.3308274268218
1379.85,2012-11-09,1379.85,1381.5781781930887
1380.03,2012-11-12,1380.03,1380.1178213965445
1374.53,2012-11-13,1374.53,1379.7827707135355
1355.49,2012-11-14,1355.49,1375.2571231717893
1353.33,2012-11-15,1353.33,1358.1843400735
1359.88,2012-11-16,1359.88,1354.5564991840615
1386.89,2012-11-19,1386.89,1358.9980598987802
1387.81,2012-11-20,1387.81,1383.14313542695
1391.03,2012-11-21,1391.03,1386.3181195995137
1409.15,2012-11-23,1409.15,1390.794424501259
1406.29,2012-11-26,1406.29,1406.6719769239512
1398.94,2012-11-27,1398.94,1405.7344818910033
1409.93,2012-11-28,1409.93,1400.1739013879671
1415.95,2012-11-29,1415.95,1408.8782187832314
1416.18,2012-11-30,1416.18,1414.5544430361795
1409.46,2012-12-03,1409.46,1415.947483657124
1407.05,2012-12-04,1407.05,1410.3281037914412
1409.28,2012-12-05,1409.28,1407.7033356870782
1413.94,2012-12-06,1413.94,1409.0659841381353
1418.07,2012-12-07,1418.07,1413.2248950906871
1418.55,2012-12-10,1418.55,1417.3288984576666
1427.84,2012-12-11,1427.84,1418.3119242137018
1428.48,2012-12-12,1428.48,1426.6800996436157
1419.45,2012-12-13,1419.45,1427.911495716782
1413.58,2012-12-14,1413.58,1420.6386792221253
1430.36,2012-12-17,1430.36,1414.7823997373396
1446.79,2012-12-18,1446.79,1428.477625693796
1435.81,2012-12-19,1435.81,1443.8050554925046
1443.69,2012-12-20,1443.69,1436.464566693047
1430.15,2012-12-21,1430.15,1443.4091083150925
1426.66,2012-12-24,1426.66,1431.318161714535
1419.83,2012-12-26,1419.83,1427.909375489932
1418.1,2012-12-27,1418.1,1420.7375554467455
1402.43,2012-12-28,1402.43,1418.670333238059
1426.19,2012-12-31,1426.19,1404.429033405555
1462.42,2013-01-02,1462.42,1424.009505531331
1459.37,2013-01-03,1459.37,1456.4955376395037
1466.47,2013-01-04,1466.47,1458.0211088161657
1461.89,2013-01-07,1461.89,1466.029440398501
1457.15,2013-01-08,1457.15,1462.012507004195
1461.02,2013-01-09,1461.02,1458.0545093750106
1472.12,2013-01-10,1472.12,1460.736701325401
1472.05,2013-01-11,1472.05,1470.5077625855306
1470.68,2013-01-14,1470.68,1471.508785188498
1472.34,2013-01-15,1472.34,1470.9445194649647
1472.63,2013-01-16,1472.63,1472.1909671524686
1480.94,2013-01-17,1480.94,1472.4962743927967
1485.98,2013-01-18,1485.98,1479.9081183212356
1492.56,2013-01-22,1492.56,1484.9128458021746
1494.81,2013-01-23,1494.81,1491.5504462590286
1494.82,2013-01-24,1494.82,1494.2151894165074
1502.96,2013-01-25,1502.96,1494.754875664459
1500.18,2013-01-28,1500.18,1501.9610096125423
1507.84,2013-01-29,1507.84,1500.095857757036
1501.96,2013-01-30,1501.96,1507.1079868293145
1498.11,2013-01-31,1498.11,1502.252300287753
