testValue,time,trainValue,prediction
378,2007-01-01,378,368.4457982421727
401,2007-01-02,401,369.4870318392219
413,2007-01-03,413,369.8291167894163
425,2007-01-04,425,369.92104392127004
418,2007-01-05,418,369.95977433592606
436,2007-01-06,436,369.9643351377806
436,2007-01-07,436,369.9711574249475
450,2007-01-08,450,437.77438289126354
432,2007-01-09,432,437.0353508633372
432,2007-01-10,432,437.7429265615346
417,2007-01-11,417,437.2817168535385
405,2007-01-12,405,437.6332278043029
393,2007-01-13,393,437.3829127043129
393,2007-01-14,393,437.5663645295409
404,2007-01-15,404,391.87659852431375
431,2007-01-16,431,392.344846080773
466,2007-01-17,466,391.89630348388994
478,2007-01-18,478,392.18886981287636
455,2007-01-19,455,391.9657605554028
408,2007-01-20,408,392.12474046265623
385,2007-01-21,385,392.0081557613079
358,2007-01-22,358,377.28000668451705
351,2007-01-23,351,375.27550691546145
351,2007-01-24,351,374.35939995531476
350,2007-01-25,350,374.2855869217131
346,2007-01-26,346,374.1088488074551
334,2007-01-27,334,374.16542844805196
809,2007-01-28,809,374.101965531658
522,2007-01-29,522,923.1089889686582
494,2007-01-30,494,982.7276784050948
486,2007-01-31,486,983.7457571514308
510,2007-02-01,510,996.7244501651459
548,2007-02-02,548,991.5919082110056
616,2007-02-03,616,996.6290547143706
705,2007-02-04,705,993.394730834337
821,2007-02-05,821,729.9458607900001
680,2007-02-06,680,736.3565349660363
665,2007-02-07,665,738.402611747854
649,2007-02-08,649,738.7575418356165
642,2007-02-09,642,738.9986097176514
634,2007-02-10,634,738.9634848487086
615,2007-02-11,615,739.0248690045004
573,2007-02-12,573,608.3009888948925
541,2007-02-13,541,607.704668003557
526,2007-02-14,526,606.681606393696
541,2007-02-15,541,607.0370733093324
565,2007-02-16,565,606.6752674368564
599,2007-02-17,599,606.9106800704366
947,2007-02-18,947,606.732225510567
1144,2007-02-19,1144,1016.5667127118542
1316,2007-02-20,1316,1052.6428359664146
1409,2007-02-21,1409,1049.7734788649457
1505,2007-02-22,1505,1058.0975865839669
1593,2007-02-23,1593,1053.7540660870077
1590,2007-02-24,1590,1057.3488192893276
1589,2007-02-25,1589,1054.8690556591446
1659,2007-02-26,1659,1587.6436734766178
1545,2007-02-27,1545,1588.0004828547403
1322,2007-02-28,1322,1587.558857245196
1012,2007-03-01,1012,1587.821581717145
888,2007-03-02,888,1587.6160321741063
764,2007-03-03,764,1587.759069841935
685,2007-03-04,685,1587.654652775649
623,2007-03-05,623,654.6450167928322
576,2007-03-06,576,648.2088977470446
527,2007-03-07,527,643.6533014437485
487,2007-03-08,487,643.9586311103444
468,2007-03-09,468,642.7684874447049
470,2007-03-10,470,643.3142432544295
469,2007-03-11,469,642.8176743910515
463,2007-03-12,463,469.59334491228753
471,2007-03-13,471,469.12270741990955
509,2007-03-14,509,469.44892599586836
568,2007-03-15,568,469.20882265258183
605,2007-03-16,605,469.3807886991163
619,2007-03-17,619,469.2561016026478
605,2007-03-18,605,469.34600749569717
587,2007-03-19,587,602.1880551261743
558,2007-03-20,558,600.0039506146876
549,2007-03-21,549,600.2068839714537
542,2007-03-22,542,599.6119207383564
544,2007-03-23,544,599.8954708390456
544,2007-03-24,544,599.6429524737622
544,2007-03-25,544,599.8098090678301
540,2007-03-26,540,543.5072774279573
513,2007-03-27,513,543.701467944699
487,2007-03-28,487,543.5087766867329
447,2007-03-29,447,543.6304993048848
422,2007-03-30,422,543.5371001036796
402,2007-03-31,402,543.6026059774777
402,2007-04-01,402,543.5547704820532
400,2007-04-02,400,400.508178769201
398,2007-04-03,398,401.09623944735824
398,2007-04-04,398,400.51282230931145
383,2007-04-05,383,400.881400302615
366,2007-04-06,366,400.59860414692906
360,2007-04-07,360,400.79695021214485
370,2007-04-08,370,400.65211156192896
401,2007-04-09,401,372.30558341247814
455,2007-04-10,455,373.7587042489654
508,2007-04-11,508,373.73157283744746
542,2007-04-12,542,374.0850546640087
553,2007-04-13,553,373.93973868326117
549,2007-04-14,549,374.0802397747187
546,2007-04-15,546,373.99074125712195
541,2007-04-16,541,544.8885890093937
556,2007-04-17,556,544.6171487855208
568,2007-04-18,568,544.4614976274772
560,2007-04-19,560,544.458569030393
545,2007-04-20,545,544.4229937855897
533,2007-04-21,533,544.436271421356
527,2007-04-22,527,544.4226641442264
517,2007-04-23,517,525.0695505956172
496,2007-04-24,496,524.4129210068447
463,2007-04-25,463,524.2156067291846
437,2007-04-26,437,524.138267640747
421,2007-04-27,421,524.1221149437526
436,2007-04-28,436,524.1102224796023
448,2007-04-29,448,524.1110841750723
466,2007-04-30,466,452.60988812221996
468,2007-05-01,468,453.60149638846417
472,2007-05-02,472,454.29296117180934
466,2007-05-03,466,454.25116522914726
465,2007-05-04,465,454.4308034373936
465,2007-05-05,465,454.34937184146463
453,2007-05-06,453,454.4241618609187
437,2007-05-07,437,449.86816829175933
407,2007-05-08,407,448.356931843737
392,2007-05-09,392,448.24376304777815
365,2007-05-10,365,447.9394491391427
363,2007-05-11,363,448.0365712213013
358,2007-05-12,358,447.9266897097328
353,2007-05-13,353,447.99373240445635
340,2007-05-14,340,350.6114180044553
343,2007-05-15,343,350.43451812455856
358,2007-05-16,358,349.9574177818179
367,2007-05-17,367,350.1110163361853
352,2007-05-18,352,349.9387888945906
333,2007-05-19,333,350.0442291831407
317,2007-05-20,317,349.9617007930708
307,2007-05-21,307,312.7234722065952
300,2007-05-22,300,310.7918373526952
310,2007-05-23,310,310.59679847363896
321,2007-05-24,321,310.23272600425923
336,2007-05-25,336,310.33625751205454
338,2007-05-26,338,310.2104856747082
333,2007-05-27,333,310.2854943410239
318,2007-05-28,318,331.31617860480526
301,2007-05-29,301,330.859533303047
296,2007-05-30,296,330.6606298266741
