testValue,time,trainValue,prediction
378,2007-01-01,378,395.0062842693326
401,2007-01-02,401,424.09987967447404
413,2007-01-03,413,485.00049558077524
425,2007-01-04,425,569.067089883107
418,2007-01-05,418,633.2204240371076
436,2007-01-06,436,638.4220402403357
436,2007-01-07,436,542.6584400820968
450,2007-01-08,450,424.362325672315
432,2007-01-09,432,442.99228824599044
432,2007-01-10,432,475.8998384745694
417,2007-01-11,417,509.6209868955357
405,2007-01-12,405,547.460810601988
393,2007-01-13,393,607.260580217573
393,2007-01-14,393,680.9319722474503
404,2007-01-15,404,396.05353459665264
431,2007-01-16,431,402.2925891137211
466,2007-01-17,466,445.25119044580003
478,2007-01-18,478,506.49335744318785
455,2007-01-19,455,581.6670333938747
408,2007-01-20,408,689.5666758473203
385,2007-01-21,385,773.896193081664
358,2007-01-22,358,197.3365948182808
351,2007-01-23,351,59.398143891514934
351,2007-01-24,351,4.850131017683257
350,2007-01-25,350,135.21163198118023
346,2007-01-26,346,244.87274208460047
334,2007-01-27,334,152.38054889136544
809,2007-01-28,809,27.476999880064227
522,2007-01-29,522,1425.787340307148
494,2007-01-30,494,2158.472186034153
486,2007-01-31,486,3065.8078544901523
510,2007-02-01,510,3888.4658283924596
548,2007-02-02,548,4340.242437255403
616,2007-02-03,616,4587.059654544452
705,2007-02-04,705,4745.164960323569
821,2007-02-05,821,826.0081393474
680,2007-02-06,680,1046.1934057078013
665,2007-02-07,665,1327.8194132587585
649,2007-02-08,649,1670.3850423518118
642,2007-02-09,642,2062.913801988259
634,2007-02-10,634,2473.5035645995576
615,2007-02-11,615,2883.0539177672845
573,2007-02-12,573,595.9279522958439
541,2007-02-13,541,577.8208573148024
526,2007-02-14,526,566.7618348435858
541,2007-02-15,541,555.6723187610397
565,2007-02-16,565,546.6080814655594
599,2007-02-17,599,542.4971689012004
947,2007-02-18,947,542.4090535697094
1144,2007-02-19,1144,1399.624495386041
1316,2007-02-20,1316,1794.2406350243828
1409,2007-02-21,1409,2223.8034248033396
1505,2007-02-22,1505,2673.80724797476
1593,2007-02-23,1593,3062.049047526163
1590,2007-02-24,1590,3396.933519972628
1589,2007-02-25,1589,3719.795226775059
1659,2007-02-26,1659,1611.9626491273614
1545,2007-02-27,1545,1701.8114739619084
1322,2007-02-28,1322,1878.844274768121
1012,2007-03-01,1012,2288.4180269858243
888,2007-03-02,888,2412.525410458297
764,2007-03-03,764,2212.74792945418
685,2007-03-04,685,2269.525946798542
623,2007-03-05,623,695.0372198528493
576,2007-03-06,576,510.56564529251943
527,2007-03-07,527,109.07152770383732
487,2007-03-08,487,-252.56325873619062
468,2007-03-09,468,-439.70023072817446
470,2007-03-10,470,-567.8815889691308
469,2007-03-11,469,-694.2986245377377
463,2007-03-12,463,474.8254588121998
471,2007-03-13,471,486.59340428505476
509,2007-03-14,509,503.39262659619345
568,2007-03-15,568,516.2394497946742
605,2007-03-16,605,526.988776750318
619,2007-03-17,619,540.786525669157
605,2007-03-18,605,554.7002104044296
587,2007-03-19,587,591.8412030649068
558,2007-03-20,558,580.6664489768251
549,2007-03-21,549,569.4859303717426
542,2007-03-22,542,726.8728519217502
544,2007-03-23,544,709.091658596117
544,2007-03-24,544,693.1540404415047
544,2007-03-25,544,706.0156946850454
540,2007-03-26,540,562.152744795084
513,2007-03-27,513,551.2997377579927
487,2007-03-28,487,547.1880844688488
447,2007-03-29,447,669.7744989831131
422,2007-03-30,422,829.0849661343937
402,2007-03-31,402,907.5823153949345
402,2007-04-01,402,956.4431265985027
400,2007-04-02,400,363.2634233534193
398,2007-04-03,398,250.52681171906312
398,2007-04-04,398,146.4030726762635
383,2007-04-05,383,76.41899713705118
